algorithm,seed,stopped,T_stop,final_exact,final_regret,best_regret,final_cum_regret,n_checks,elapsed_seconds
p2etg,0,False,200000,False,0.11252830888555199,0.0,10012.515172398826,447,25.331644750200212
p2etg,1,False,200000,True,8.881784197001252e-16,0.0,450.028184953374,447,25.359480791259557
p2etg,2,False,200000,False,0.0,0.0,30.4276068538843,447,25.15179512510076
p2etg,3,False,200000,False,0.0,0.0,3661.5919373961574,447,25.3017245833762
p2etg,4,False,200000,True,8.881784197001252e-16,0.0,4327.482274671071,447,25.19478016672656
p2etg,5,False,200000,False,0.0,0.0,1249.5938696951596,447,25.58853824995458
p2etg,6,False,200000,False,0.04271309793776901,0.0,6024.442509953979,447,25.511669625062495
p2etg,7,False,200000,False,0.0941763119880461,8.881784197001252e-16,17922.626262919934,447,25.645766083151102
p2etg,8,False,200000,False,0.0,0.0,1727.790890473934,447,25.640640458557755
p2etg,9,False,200000,True,8.881784197001252e-16,0.0,1498.7097678350035,447,25.67957066698
preflid,0,False,200004,False,0.0,0.0,2246.941296598959,7143,9.770932166371495
preflid,1,False,200004,False,0.04271309793776901,0.0,13337.816337600563,7143,9.567530458793044
preflid,2,False,200004,True,8.881784197001252e-16,0.0,8296.996296430154,7143,9.535992667078972
preflid,3,False,200004,False,0.0,0.0,7476.579167011697,7143,9.495358083862811
preflid,4,False,200004,True,8.881784197001252e-16,0.0,849.5481925373349,7143,9.422213749960065
preflid,5,False,200004,False,0.0,0.0,7255.225763530206,7143,9.365610165987164
preflid,6,False,200004,False,0.0,0.0,1999.0110938882085,7143,9.45089687500149
preflid,7,False,200004,False,0.0,0.0,10216.541510000394,7143,9.511267832946032
preflid,8,False,200004,True,8.881784197001252e-16,0.0,5107.70629252425,7143,9.550071832723916
preflid,9,False,200004,False,0.04271309793776901,0.0,15772.362713172164,7143,9.607092790771276
