task,model,count,frequency,oracle_train_assignment,is_oracle_assignment
emorynlp,gemma-2-9b-it,404,0.808,gemma-2-9b-it,True
emorynlp,glm-4-9b-chat,72,0.144,gemma-2-9b-it,False
emorynlp,Fin-R1,19,0.038,gemma-2-9b-it,False
emorynlp,GLM-Z1-9B-0414,4,0.008,gemma-2-9b-it,False
emorynlp,Qwen3-8B,1,0.002,gemma-2-9b-it,False
finqa,Qwen3-8B,369,0.738,Qwen3-8B,True
finqa,Intern-S1-mini,101,0.202,Qwen3-8B,False
finqa,Fin-R1,14,0.028,Qwen3-8B,False
finqa,GLM-Z1-9B-0414,10,0.02,Qwen3-8B,False
finqa,DeepSeek-R1-0528-Qwen3-8B,6,0.012,Qwen3-8B,False
humaneval,Qwen2.5-Coder-7B-Instruct,461,0.922,Qwen2.5-Coder-7B-Instruct,True
humaneval,glm-4-9b-chat,22,0.044,Qwen2.5-Coder-7B-Instruct,False
humaneval,Fin-R1,17,0.034,Qwen2.5-Coder-7B-Instruct,False
korbench,Intern-S1-mini,393,0.786,Intern-S1-mini,True
korbench,GLM-Z1-9B-0414,105,0.21,Intern-S1-mini,False
korbench,DeepSeek-R1-0528-Qwen3-8B,2,0.004,Intern-S1-mini,False
math500,GLM-Z1-9B-0414,372,0.744,GLM-Z1-9B-0414,True
math500,DeepSeek-R1-0528-Qwen3-8B,101,0.202,GLM-Z1-9B-0414,False
math500,Qwen3-8B,22,0.044,GLM-Z1-9B-0414,False
math500,Intern-S1-mini,5,0.01,GLM-Z1-9B-0414,False
mbpp,Fin-R1,448,0.896,Fin-R1,True
mbpp,Qwen2.5-Coder-7B-Instruct,39,0.078,Fin-R1,False
mbpp,GLM-Z1-9B-0414,9,0.018,Fin-R1,False
mbpp,glm-4-9b-chat,3,0.006,Fin-R1,False
mbpp,gemma-2-9b-it,1,0.002,Fin-R1,False
medqa,DeepSeek-R1-0528-Qwen3-8B,391,0.782,DeepSeek-R1-0528-Qwen3-8B,True
medqa,Qwen3-8B,108,0.216,DeepSeek-R1-0528-Qwen3-8B,False
medqa,Intern-S1-mini,1,0.002,DeepSeek-R1-0528-Qwen3-8B,False
meld,glm-4-9b-chat,403,0.806,glm-4-9b-chat,True
meld,gemma-2-9b-it,95,0.19,glm-4-9b-chat,False
meld,Fin-R1,2,0.004,glm-4-9b-chat,False
