replicate,task,model
0,medqa,DeepSeek-R1-0528-Qwen3-8B
0,humaneval,Qwen2.5-Coder-7B-Instruct
0,meld,gemma-2-9b-it
0,emorynlp,glm-4-9b-chat
0,math500,GLM-Z1-9B-0414
0,korbench,Intern-S1-mini
0,mbpp,Fin-R1
0,finqa,Qwen3-8B
1,medqa,Qwen3-8B
1,meld,glm-4-9b-chat
1,humaneval,Qwen2.5-Coder-7B-Instruct
1,finqa,Intern-S1-mini
1,math500,DeepSeek-R1-0528-Qwen3-8B
1,korbench,GLM-Z1-9B-0414
1,emorynlp,gemma-2-9b-it
1,mbpp,Fin-R1
2,meld,glm-4-9b-chat
2,medqa,DeepSeek-R1-0528-Qwen3-8B
2,humaneval,Qwen2.5-Coder-7B-Instruct
2,math500,GLM-Z1-9B-0414
2,korbench,Intern-S1-mini
2,emorynlp,gemma-2-9b-it
2,mbpp,Fin-R1
2,finqa,Qwen3-8B
3,meld,glm-4-9b-chat
3,medqa,DeepSeek-R1-0528-Qwen3-8B
3,humaneval,Qwen2.5-Coder-7B-Instruct
3,math500,GLM-Z1-9B-0414
3,korbench,Intern-S1-mini
3,emorynlp,gemma-2-9b-it
3,mbpp,Fin-R1
3,finqa,Qwen3-8B
4,meld,glm-4-9b-chat
4,medqa,DeepSeek-R1-0528-Qwen3-8B
4,humaneval,Qwen2.5-Coder-7B-Instruct
4,math500,GLM-Z1-9B-0414
4,korbench,Intern-S1-mini
4,emorynlp,gemma-2-9b-it
4,mbpp,Fin-R1
4,finqa,Qwen3-8B
5,meld,glm-4-9b-chat
5,medqa,DeepSeek-R1-0528-Qwen3-8B
5,humaneval,Qwen2.5-Coder-7B-Instruct
5,math500,GLM-Z1-9B-0414
5,korbench,Intern-S1-mini
5,emorynlp,gemma-2-9b-it
5,mbpp,Fin-R1
5,finqa,Qwen3-8B
6,meld,glm-4-9b-chat
6,medqa,DeepSeek-R1-0528-Qwen3-8B
6,humaneval,Qwen2.5-Coder-7B-Instruct
6,math500,GLM-Z1-9B-0414
6,korbench,Intern-S1-mini
6,emorynlp,gemma-2-9b-it
6,mbpp,Fin-R1
6,finqa,Qwen3-8B
7,medqa,Qwen3-8B
7,meld,glm-4-9b-chat
7,humaneval,Qwen2.5-Coder-7B-Instruct
7,finqa,Intern-S1-mini
7,math500,DeepSeek-R1-0528-Qwen3-8B
7,korbench,GLM-Z1-9B-0414
7,emorynlp,gemma-2-9b-it
7,mbpp,Fin-R1
8,meld,glm-4-9b-chat
8,medqa,DeepSeek-R1-0528-Qwen3-8B
8,mbpp,Qwen2.5-Coder-7B-Instruct
8,math500,GLM-Z1-9B-0414
8,humaneval,Fin-R1
8,korbench,Intern-S1-mini
8,emorynlp,gemma-2-9b-it
8,finqa,Qwen3-8B
9,meld,glm-4-9b-chat
9,medqa,DeepSeek-R1-0528-Qwen3-8B
9,math500,Qwen3-8B
9,humaneval,Qwen2.5-Coder-7B-Instruct
9,finqa,Intern-S1-mini
9,korbench,GLM-Z1-9B-0414
9,emorynlp,gemma-2-9b-it
9,mbpp,Fin-R1
10,meld,glm-4-9b-chat
10,medqa,DeepSeek-R1-0528-Qwen3-8B
10,humaneval,Qwen2.5-Coder-7B-Instruct
10,math500,GLM-Z1-9B-0414
10,korbench,Intern-S1-mini
10,emorynlp,gemma-2-9b-it
10,mbpp,Fin-R1
10,finqa,Qwen3-8B
11,meld,glm-4-9b-chat
11,medqa,DeepSeek-R1-0528-Qwen3-8B
11,humaneval,Qwen2.5-Coder-7B-Instruct
11,math500,GLM-Z1-9B-0414
11,korbench,Intern-S1-mini
11,emorynlp,gemma-2-9b-it
11,mbpp,Fin-R1
11,finqa,Qwen3-8B
12,medqa,Qwen3-8B
12,meld,glm-4-9b-chat
12,humaneval,Qwen2.5-Coder-7B-Instruct
12,finqa,Intern-S1-mini
12,math500,DeepSeek-R1-0528-Qwen3-8B
12,korbench,GLM-Z1-9B-0414
12,emorynlp,gemma-2-9b-it
12,mbpp,Fin-R1
