replicate,model,dataset,utility
0,DeepSeek-R1-0528-Qwen3-8B,emorynlp,0.37559808612440193
0,DeepSeek-R1-0528-Qwen3-8B,finqa,0.7194767441860465
0,DeepSeek-R1-0528-Qwen3-8B,humaneval,0.25510204081632654
0,DeepSeek-R1-0528-Qwen3-8B,korbench,0.5466666666666666
0,DeepSeek-R1-0528-Qwen3-8B,math500,0.9633333333333334
0,DeepSeek-R1-0528-Qwen3-8B,mbpp,0.3116438356164384
0,DeepSeek-R1-0528-Qwen3-8B,medqa,0.7971204188481675
0,DeepSeek-R1-0528-Qwen3-8B,meld,0.5629228687415426
0,Fin-R1,emorynlp,0.3588516746411483
0,Fin-R1,finqa,0.686046511627907
0,Fin-R1,humaneval,0.7551020408163265
0,Fin-R1,korbench,0.31333333333333335
0,Fin-R1,math500,0.8133333333333334
0,Fin-R1,mbpp,0.7037671232876712
0,Fin-R1,medqa,0.5942408376963351
0,Fin-R1,meld,0.5480378890392422
0,GLM-Z1-9B-0414,emorynlp,0.3803827751196172
0,GLM-Z1-9B-0414,finqa,0.6686046511627907
0,GLM-Z1-9B-0414,humaneval,0.5408163265306123
0,GLM-Z1-9B-0414,korbench,0.524
0,GLM-Z1-9B-0414,math500,0.9666666666666667
0,GLM-Z1-9B-0414,mbpp,0.625
0,GLM-Z1-9B-0414,medqa,0.7015706806282722
0,GLM-Z1-9B-0414,meld,0.5006765899864682
0,Intern-S1-mini,emorynlp,0.37799043062200954
0,Intern-S1-mini,finqa,0.7078488372093024
0,Intern-S1-mini,humaneval,0.4489795918367347
0,Intern-S1-mini,korbench,0.552
0,Intern-S1-mini,math500,0.9533333333333334
0,Intern-S1-mini,mbpp,0.4126712328767123
0,Intern-S1-mini,medqa,0.6819371727748691
0,Intern-S1-mini,meld,0.5277401894451962
0,Qwen2.5-Coder-7B-Instruct,emorynlp,0.3588516746411483
0,Qwen2.5-Coder-7B-Instruct,finqa,0.625
0,Qwen2.5-Coder-7B-Instruct,humaneval,0.7755102040816326
0,Qwen2.5-Coder-7B-Instruct,korbench,0.30933333333333335
0,Qwen2.5-Coder-7B-Instruct,math500,0.7
0,Qwen2.5-Coder-7B-Instruct,mbpp,0.7397260273972602
0,Qwen2.5-Coder-7B-Instruct,medqa,0.46596858638743455
