replicate,dataset,model,utility
0,emorynlp,DeepSeek-R1-0528-Qwen3-8B,0.37559808612440193
0,emorynlp,Fin-R1,0.3588516746411483
0,emorynlp,GLM-Z1-9B-0414,0.3803827751196172
0,emorynlp,Intern-S1-mini,0.37799043062200954
0,emorynlp,Qwen2.5-Coder-7B-Instruct,0.3588516746411483
0,emorynlp,Qwen3-8B,0.3660287081339713
0,emorynlp,gemma-2-9b-it,0.3684210526315789
0,emorynlp,glm-4-9b-chat,0.35645933014354064
0,finqa,DeepSeek-R1-0528-Qwen3-8B,0.7194767441860465
0,finqa,Fin-R1,0.686046511627907
0,finqa,GLM-Z1-9B-0414,0.6686046511627907
0,finqa,Intern-S1-mini,0.7078488372093024
0,finqa,Qwen2.5-Coder-7B-Instruct,0.625
0,finqa,Qwen3-8B,0.7180232558139535
0,finqa,gemma-2-9b-it,0.6540697674418605
0,finqa,glm-4-9b-chat,0.5872093023255814
0,humaneval,DeepSeek-R1-0528-Qwen3-8B,0.25510204081632654
0,humaneval,Fin-R1,0.7551020408163265
0,humaneval,GLM-Z1-9B-0414,0.5408163265306123
0,humaneval,Intern-S1-mini,0.4489795918367347
0,humaneval,Qwen2.5-Coder-7B-Instruct,0.7755102040816326
0,humaneval,Qwen3-8B,0.6428571428571429
0,humaneval,gemma-2-9b-it,0.6530612244897959
0,humaneval,glm-4-9b-chat,0.7346938775510204
0,korbench,DeepSeek-R1-0528-Qwen3-8B,0.5466666666666666
0,korbench,Fin-R1,0.31333333333333335
0,korbench,GLM-Z1-9B-0414,0.524
0,korbench,Intern-S1-mini,0.552
0,korbench,Qwen2.5-Coder-7B-Instruct,0.30933333333333335
0,korbench,Qwen3-8B,0.5293333333333333
0,korbench,gemma-2-9b-it,0.30533333333333335
0,korbench,glm-4-9b-chat,0.3333333333333333
0,math500,DeepSeek-R1-0528-Qwen3-8B,0.9633333333333334
0,math500,Fin-R1,0.8133333333333334
0,math500,GLM-Z1-9B-0414,0.9666666666666667
0,math500,Intern-S1-mini,0.9533333333333334
0,math500,Qwen2.5-Coder-7B-Instruct,0.7
0,math500,Qwen3-8B,0.9566666666666667
0,math500,gemma-2-9b-it,0.5133333333333333
0,math500,glm-4-9b-chat,0.54
0,mbpp,DeepSeek-R1-0528-Qwen3-8B,0.3116438356164384
0,mbpp,Fin-R1,0.7037671232876712
0,mbpp,GLM-Z1-9B-0414,0.625
0,mbpp,Intern-S1-mini,0.4126712328767123
0,mbpp,Qwen2.5-Coder-7B-Instruct,0.7397260273972602
0,mbpp,Qwen3-8B,0.553082191780822
0,mbpp,gemma-2-9b-it,0.5907534246575342
0,mbpp,glm-4-9b-chat,0.5787671232876712
0,medqa,DeepSeek-R1-0528-Qwen3-8B,0.7971204188481675
0,medqa,Fin-R1,0.5942408376963351
0,medqa,GLM-Z1-9B-0414,0.7015706806282722
0,medqa,Intern-S1-mini,0.6819371727748691
0,medqa,Qwen2.5-Coder-7B-Instruct,0.46596858638743455
0,medqa,Qwen3-8B,0.7670157068062827
0,medqa,gemma-2-9b-it,0.599476439790576
0,medqa,glm-4-9b-chat,0.5981675392670157
0,meld,DeepSeek-R1-0528-Qwen3-8B,0.5629228687415426
0,meld,Fin-R1,0.5480378890392422
0,meld,GLM-Z1-9B-0414,0.5006765899864682
0,meld,Intern-S1-mini,0.5277401894451962
0,meld,Qwen2.5-Coder-7B-Instruct,0.5696887686062246
0,meld,Qwen3-8B,0.5832205683355887
0,meld,gemma-2-9b-it,0.5764546684709067
0,meld,glm-4-9b-chat,0.5737483085250338
1,emorynlp,DeepSeek-R1-0528-Qwen3-8B,0.3660287081339713
1,emorynlp,Fin-R1,0.34688995215311
1,emorynlp,GLM-Z1-9B-0414,0.3277511961722488
1,emorynlp,Intern-S1-mini,0.3349282296650718
1,emorynlp,Qwen2.5-Coder-7B-Instruct,0.35406698564593303
1,emorynlp,Qwen3-8B,0.3684210526315789
1,emorynlp,gemma-2-9b-it,0.3708133971291866
1,emorynlp,glm-4-9b-chat,0.3373205741626794
1,finqa,DeepSeek-R1-0528-Qwen3-8B,0.7209302325581395
1,finqa,Fin-R1,0.688953488372093
1,finqa,GLM-Z1-9B-0414,0.7151162790697675
1,finqa,Intern-S1-mini,0.7165697674418605
