model,dataset,mean,std,p2_5,p50,p97_5
DeepSeek-R1-0528-Qwen3-8B,emorynlp,0.369244019138756,0.02273637548974492,0.3229665071770335,0.3684210526315789,0.41626794258373206
DeepSeek-R1-0528-Qwen3-8B,finqa,0.7115494186046512,0.016640380448147796,0.680922965116279,0.7107558139534884,0.7427325581395349
DeepSeek-R1-0528-Qwen3-8B,humaneval,0.22512244897959183,0.0409772450564355,0.14285714285714285,0.22448979591836735,0.29591836734693877
DeepSeek-R1-0528-Qwen3-8B,korbench,0.553416,0.01800458419074266,0.5179666666666667,0.5533333333333333,0.5887
DeepSeek-R1-0528-Qwen3-8B,math500,0.9469066666666667,0.012898217587044122,0.9233333333333333,0.9466666666666667,0.9717499999999999
DeepSeek-R1-0528-Qwen3-8B,mbpp,0.3521643835616438,0.019541834643255183,0.31416952054794517,0.3527397260273973,0.3930222602739726
DeepSeek-R1-0528-Qwen3-8B,medqa,0.8099031413612565,0.013771016322834752,0.7840314136125655,0.8102094240837696,0.8357657068062827
DeepSeek-R1-0528-Qwen3-8B,meld,0.5197077131258457,0.017664297206779905,0.4864343707713126,0.5196211096075778,0.5541610284167794
Fin-R1,emorynlp,0.35796650717703354,0.023935080255393693,0.31100478468899523,0.35645933014354064,0.4043062200956938
Fin-R1,finqa,0.6923953488372093,0.01769684368778098,0.6584302325581395,0.6933139534883721,0.7267441860465116
Fin-R1,humaneval,0.7338979591836735,0.04472874500677582,0.647704081632653,0.7346938775510204,0.8163265306122449
Fin-R1,korbench,0.3236853333333333,0.016792460693386926,0.28933333333333333,0.32266666666666666,0.35739999999999994
Fin-R1,math500,0.7635933333333333,0.02365036931691644,0.72,0.7633333333333333,0.81
Fin-R1,mbpp,0.69225,0.018663639316104434,0.6575342465753424,0.6917808219178082,0.7311643835616438
Fin-R1,medqa,0.6118507853403141,0.01687315663839164,0.5772251308900523,0.612565445026178,0.6420484293193717
Fin-R1,meld,0.5132286874154263,0.018576393232882262,0.47966847090663056,0.5128552097428958,0.5520974289580515
GLM-Z1-9B-0414,emorynlp,0.3388325358851675,0.021969648954360255,0.2966507177033493,0.3397129186602871,0.3803827751196172
GLM-Z1-9B-0414,finqa,0.6880203488372093,0.0173699746180501,0.6569767441860465,0.6875,0.7231468023255813
GLM-Z1-9B-0414,humaneval,0.599204081632653,0.05037702802580344,0.5102040816326531,0.6020408163265306,0.6938775510204082
GLM-Z1-9B-0414,korbench,0.5403013333333333,0.017342627588851505,0.5053333333333333,0.54,0.5727
GLM-Z1-9B-0414,math500,0.9566733333333333,0.011429742401123726,0.9333333333333333,0.9566666666666667,0.98
GLM-Z1-9B-0414,mbpp,0.6297260273972602,0.02007835172473361,0.5898544520547945,0.6301369863013698,0.6678082191780822
GLM-Z1-9B-0414,medqa,0.7050287958115183,0.01606929462243386,0.6727748691099477,0.7041884816753927,0.7356020942408377
GLM-Z1-9B-0414,meld,0.472254397834912,0.018277492897580405,0.4370771312584574,0.4709066305818674,0.5060893098782138
Intern-S1-mini,emorynlp,0.3444114832535885,0.021867364036265217,0.3014354066985646,0.3444976076555024,0.3875598086124402
Intern-S1-mini,finqa,0.7036889534883721,0.017431842159801873,0.6715116279069767,0.7034883720930233,0.7383720930232558
Intern-S1-mini,humaneval,0.4473469387755102,0.05034148088463965,0.35714285714285715,0.4489795918367347,0.5510204081632653
Intern-S1-mini,korbench,0.575824,0.018051440684869923,0.5406333333333333,0.5753333333333333,0.6106666666666667
Intern-S1-mini,math500,0.9270533333333333,0.014891631103051604,0.8966666666666666,0.9266666666666666,0.9533333333333334
Intern-S1-mini,mbpp,0.4473767123287671,0.020663162620808605,0.40663527397260274,0.4452054794520548,0.4863013698630137
Intern-S1-mini,medqa,0.693824607329843,0.016100748247535945,0.6636125654450262,0.693717277486911,0.7264397905759162
Intern-S1-mini,meld,0.5092611637347767,0.01766085674416946,0.4749661705006766,0.5087956698240866,0.5412719891745602
Qwen2.5-Coder-7B-Instruct,emorynlp,0.34463636363636363,0.0234980829987741,0.29904306220095694,0.3444976076555024,0.3875598086124402
