task,model,count,frequency,oracle_train_assignment,is_oracle_assignment
bbh,NVIDIA-Nemotron-Nano-9B-v2,264,0.528,NVIDIA-Nemotron-Nano-9B-v2,True
bbh,DeepSeek-R1-0528-Qwen3-8B,232,0.464,NVIDIA-Nemotron-Nano-9B-v2,False
bbh,Qwen3-8B,4,0.008,NVIDIA-Nemotron-Nano-9B-v2,False
finqa,Fin-R1,473,0.946,Fin-R1,True
finqa,NVIDIA-Nemotron-Nano-9B-v2,16,0.032,Fin-R1,False
finqa,Qwen3-8B,9,0.018,Fin-R1,False
finqa,Qwen2.5-Coder-7B-Instruct,1,0.002,Fin-R1,False
finqa,gemma-2-9b-it,1,0.002,Fin-R1,False
korbench,Llama-3.1-8B-Instruct,354,0.708,Qwen2.5-Coder-7B-Instruct,False
korbench,Qwen2.5-Coder-7B-Instruct,103,0.206,Qwen2.5-Coder-7B-Instruct,True
korbench,Llama-3.1-8B-UltraMedical,28,0.056,Qwen2.5-Coder-7B-Instruct,False
korbench,Fin-R1,12,0.024,Qwen2.5-Coder-7B-Instruct,False
korbench,gemma-2-9b-it,3,0.006,Qwen2.5-Coder-7B-Instruct,False
livecodebench,Llama-3.1-8B-UltraMedical,457,0.914,Llama-3.1-8B-UltraMedical,True
livecodebench,Llama-3.1-8B-Instruct,37,0.074,Llama-3.1-8B-UltraMedical,False
livecodebench,Qwen2.5-Coder-7B-Instruct,5,0.01,Llama-3.1-8B-UltraMedical,False
livecodebench,Fin-R1,1,0.002,Llama-3.1-8B-UltraMedical,False
math500,DeepSeek-R1-0528-Qwen3-8B,262,0.524,DeepSeek-R1-0528-Qwen3-8B,True
math500,NVIDIA-Nemotron-Nano-9B-v2,182,0.364,DeepSeek-R1-0528-Qwen3-8B,False
math500,Qwen3-8B,56,0.112,DeepSeek-R1-0528-Qwen3-8B,False
medqa,Qwen3-8B,431,0.862,Qwen3-8B,True
medqa,NVIDIA-Nemotron-Nano-9B-v2,32,0.064,Qwen3-8B,False
medqa,Llama-3.1-8B-Instruct,16,0.032,Qwen3-8B,False
medqa,Llama-3.1-8B-UltraMedical,15,0.03,Qwen3-8B,False
medqa,DeepSeek-R1-0528-Qwen3-8B,6,0.012,Qwen3-8B,False
meld,Qwen2.5-Coder-7B-Instruct,316,0.632,gemma-2-9b-it,False
meld,gemma-2-9b-it,177,0.354,gemma-2-9b-it,True
meld,Fin-R1,4,0.008,gemma-2-9b-it,False
meld,Llama-3.1-8B-Instruct,3,0.006,gemma-2-9b-it,False
mmlupro,gemma-2-9b-it,319,0.638,Llama-3.1-8B-Instruct,False
mmlupro,Llama-3.1-8B-Instruct,90,0.18,Llama-3.1-8B-Instruct,True
mmlupro,Qwen2.5-Coder-7B-Instruct,75,0.15,Llama-3.1-8B-Instruct,False
mmlupro,Fin-R1,10,0.02,Llama-3.1-8B-Instruct,False
mmlupro,NVIDIA-Nemotron-Nano-9B-v2,6,0.012,Llama-3.1-8B-Instruct,False
