replicate,task,model
0,mmlupro,Qwen2.5-Coder-7B-Instruct
0,livecodebench,Llama-3.1-8B-UltraMedical
0,meld,gemma-2-9b-it
0,math500,DeepSeek-R1-0528-Qwen3-8B
0,bbh,NVIDIA-Nemotron-Nano-9B-v2
0,korbench,Llama-3.1-8B-Instruct
0,finqa,Fin-R1
0,medqa,Qwen3-8B
1,mmlupro,gemma-2-9b-it
1,livecodebench,Llama-3.1-8B-UltraMedical
1,math500,DeepSeek-R1-0528-Qwen3-8B
1,bbh,NVIDIA-Nemotron-Nano-9B-v2
1,korbench,Llama-3.1-8B-Instruct
1,meld,Qwen2.5-Coder-7B-Instruct
1,finqa,Fin-R1
1,medqa,Qwen3-8B
2,mmlupro,gemma-2-9b-it
2,livecodebench,Llama-3.1-8B-UltraMedical
2,math500,DeepSeek-R1-0528-Qwen3-8B
2,bbh,NVIDIA-Nemotron-Nano-9B-v2
2,korbench,Llama-3.1-8B-Instruct
2,meld,Qwen2.5-Coder-7B-Instruct
2,finqa,Fin-R1
2,medqa,Qwen3-8B
3,mmlupro,gemma-2-9b-it
3,livecodebench,Llama-3.1-8B-UltraMedical
3,math500,DeepSeek-R1-0528-Qwen3-8B
3,bbh,NVIDIA-Nemotron-Nano-9B-v2
3,korbench,Llama-3.1-8B-Instruct
3,meld,Qwen2.5-Coder-7B-Instruct
3,finqa,Fin-R1
3,medqa,Qwen3-8B
4,mmlupro,Llama-3.1-8B-Instruct
4,medqa,Qwen3-8B
4,livecodebench,Llama-3.1-8B-UltraMedical
4,meld,gemma-2-9b-it
4,math500,DeepSeek-R1-0528-Qwen3-8B
4,bbh,NVIDIA-Nemotron-Nano-9B-v2
4,finqa,Fin-R1
4,korbench,Qwen2.5-Coder-7B-Instruct
5,mmlupro,gemma-2-9b-it
5,livecodebench,Llama-3.1-8B-UltraMedical
5,math500,DeepSeek-R1-0528-Qwen3-8B
5,bbh,NVIDIA-Nemotron-Nano-9B-v2
5,korbench,Llama-3.1-8B-Instruct
5,meld,Qwen2.5-Coder-7B-Instruct
5,finqa,Fin-R1
5,medqa,Qwen3-8B
6,mmlupro,gemma-2-9b-it
6,livecodebench,Llama-3.1-8B-UltraMedical
6,math500,NVIDIA-Nemotron-Nano-9B-v2
6,korbench,Llama-3.1-8B-Instruct
6,meld,Qwen2.5-Coder-7B-Instruct
6,finqa,Fin-R1
6,bbh,DeepSeek-R1-0528-Qwen3-8B
6,medqa,Qwen3-8B
7,mmlupro,Llama-3.1-8B-Instruct
7,medqa,Qwen3-8B
7,livecodebench,Llama-3.1-8B-UltraMedical
7,meld,gemma-2-9b-it
7,math500,DeepSeek-R1-0528-Qwen3-8B
7,bbh,NVIDIA-Nemotron-Nano-9B-v2
7,finqa,Fin-R1
7,korbench,Qwen2.5-Coder-7B-Instruct
8,mmlupro,Llama-3.1-8B-Instruct
8,medqa,Qwen3-8B
8,livecodebench,Llama-3.1-8B-UltraMedical
8,meld,gemma-2-9b-it
8,math500,DeepSeek-R1-0528-Qwen3-8B
8,bbh,NVIDIA-Nemotron-Nano-9B-v2
8,finqa,Fin-R1
8,korbench,Qwen2.5-Coder-7B-Instruct
9,medqa,DeepSeek-R1-0528-Qwen3-8B
9,math500,Qwen3-8B
9,mmlupro,Qwen2.5-Coder-7B-Instruct
9,livecodebench,Llama-3.1-8B-UltraMedical
9,meld,gemma-2-9b-it
9,bbh,NVIDIA-Nemotron-Nano-9B-v2
9,korbench,Llama-3.1-8B-Instruct
9,finqa,Fin-R1
10,mmlupro,gemma-2-9b-it
10,livecodebench,Llama-3.1-8B-UltraMedical
10,math500,NVIDIA-Nemotron-Nano-9B-v2
10,korbench,Llama-3.1-8B-Instruct
10,meld,Qwen2.5-Coder-7B-Instruct
10,finqa,Fin-R1
10,bbh,DeepSeek-R1-0528-Qwen3-8B
10,medqa,Qwen3-8B
11,mmlupro,gemma-2-9b-it
11,livecodebench,Llama-3.1-8B-UltraMedical
11,math500,DeepSeek-R1-0528-Qwen3-8B
11,bbh,NVIDIA-Nemotron-Nano-9B-v2
11,korbench,Llama-3.1-8B-Instruct
11,meld,Qwen2.5-Coder-7B-Instruct
11,finqa,Fin-R1
11,medqa,Qwen3-8B
12,mmlupro,Llama-3.1-8B-Instruct
12,medqa,Qwen3-8B
12,livecodebench,Llama-3.1-8B-UltraMedical
12,meld,gemma-2-9b-it
12,math500,DeepSeek-R1-0528-Qwen3-8B
12,bbh,NVIDIA-Nemotron-Nano-9B-v2
12,finqa,Fin-R1
12,korbench,Qwen2.5-Coder-7B-Instruct
13,mmlupro,Qwen2.5-Coder-7B-Instruct
13,livecodebench,Llama-3.1-8B-UltraMedical
13,meld,gemma-2-9b-it
13,math500,DeepSeek-R1-0528-Qwen3-8B
13,bbh,NVIDIA-Nemotron-Nano-9B-v2
13,korbench,Llama-3.1-8B-Instruct
13,finqa,Fin-R1
13,medqa,Qwen3-8B
14,mmlupro,gemma-2-9b-it
14,livecodebench,Llama-3.1-8B-UltraMedical
14,math500,DeepSeek-R1-0528-Qwen3-8B
14,bbh,NVIDIA-Nemotron-Nano-9B-v2
14,korbench,Llama-3.1-8B-Instruct
14,meld,Qwen2.5-Coder-7B-Instruct
14,finqa,Fin-R1
14,medqa,Qwen3-8B
15,mmlupro,gemma-2-9b-it
15,livecodebench,Llama-3.1-8B-UltraMedical
15,math500,DeepSeek-R1-0528-Qwen3-8B
15,bbh,NVIDIA-Nemotron-Nano-9B-v2
15,korbench,Llama-3.1-8B-Instruct
15,meld,Qwen2.5-Coder-7B-Instruct
15,finqa,Fin-R1
15,medqa,Qwen3-8B
16,mmlupro,gemma-2-9b-it
