matching,count,frequency,is_train_oracle
bbh=NVIDIA-Nemotron-Nano-9B-v2|finqa=Fin-R1|korbench=Llama-3.1-8B-Instruct|livecodebench=Llama-3.1-8B-UltraMedical|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Qwen3-8B|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,151,0.302,False
bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Llama-3.1-8B-Instruct|livecodebench=Llama-3.1-8B-UltraMedical|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Qwen3-8B|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,104,0.208,False
bbh=NVIDIA-Nemotron-Nano-9B-v2|finqa=Fin-R1|korbench=Qwen2.5-Coder-7B-Instruct|livecodebench=Llama-3.1-8B-UltraMedical|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Qwen3-8B|meld=gemma-2-9b-it|mmlupro=Llama-3.1-8B-Instruct,45,0.09,True
bbh=NVIDIA-Nemotron-Nano-9B-v2|finqa=Fin-R1|korbench=Llama-3.1-8B-Instruct|livecodebench=Llama-3.1-8B-UltraMedical|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Qwen3-8B|meld=gemma-2-9b-it|mmlupro=Qwen2.5-Coder-7B-Instruct,39,0.078,False
bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Qwen2.5-Coder-7B-Instruct|livecodebench=Llama-3.1-8B-UltraMedical|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Qwen3-8B|meld=gemma-2-9b-it|mmlupro=Llama-3.1-8B-Instruct,33,0.066,False
bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Llama-3.1-8B-Instruct|livecodebench=Llama-3.1-8B-UltraMedical|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Qwen3-8B|meld=gemma-2-9b-it|mmlupro=Qwen2.5-Coder-7B-Instruct,26,0.052,False
bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Llama-3.1-8B-Instruct|livecodebench=Llama-3.1-8B-UltraMedical|math500=Qwen3-8B|medqa=NVIDIA-Nemotron-Nano-9B-v2|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,24,0.048,False
bbh=NVIDIA-Nemotron-Nano-9B-v2|finqa=Fin-R1|korbench=Llama-3.1-8B-UltraMedical|livecodebench=Llama-3.1-8B-Instruct|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Qwen3-8B|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,12,0.024,False
bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Llama-3.1-8B-UltraMedical|livecodebench=Llama-3.1-8B-Instruct|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Qwen3-8B|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,6,0.012,False
bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Qwen2.5-Coder-7B-Instruct|livecodebench=Llama-3.1-8B-UltraMedical|math500=Qwen3-8B|medqa=NVIDIA-Nemotron-Nano-9B-v2|meld=gemma-2-9b-it|mmlupro=Llama-3.1-8B-Instruct,6,0.012,False
