side,agent,partner_1,partner_2,base_gap,bootstrap_flip_probability
task,math500,DeepSeek-R1-0528-Qwen3-8B,Fin-R1,0.18333333333333335,0.0
task,math500,DeepSeek-R1-0528-Qwen3-8B,Llama-3.1-8B-UltraMedical,0.48666666666666664,0.0
task,math500,DeepSeek-R1-0528-Qwen3-8B,Qwen2.5-Coder-7B-Instruct,0.2733333333333333,0.0
task,math500,DeepSeek-R1-0528-Qwen3-8B,Qwen3-8B,0.00666666666666671,0.332
task,math500,DeepSeek-R1-0528-Qwen3-8B,Llama-3.1-8B-Instruct,0.42999999999999994,0.0
task,math500,DeepSeek-R1-0528-Qwen3-8B,NVIDIA-Nemotron-Nano-9B-v2,0.0,0.892
task,math500,DeepSeek-R1-0528-Qwen3-8B,gemma-2-9b-it,0.44666666666666666,0.0
task,math500,Fin-R1,Llama-3.1-8B-UltraMedical,0.3033333333333333,0.0
task,math500,Fin-R1,Qwen2.5-Coder-7B-Instruct,0.08999999999999997,0.0
task,math500,Fin-R1,Qwen3-8B,0.17666666666666664,0.0
task,math500,Fin-R1,Llama-3.1-8B-Instruct,0.2466666666666666,0.0
task,math500,Fin-R1,NVIDIA-Nemotron-Nano-9B-v2,0.18333333333333335,0.0
task,math500,Fin-R1,gemma-2-9b-it,0.2633333333333333,0.0
task,math500,Llama-3.1-8B-UltraMedical,Qwen2.5-Coder-7B-Instruct,0.21333333333333332,0.0
task,math500,Llama-3.1-8B-UltraMedical,Qwen3-8B,0.4799999999999999,0.0
task,math500,Llama-3.1-8B-UltraMedical,Llama-3.1-8B-Instruct,0.0566666666666667,0.024
task,math500,Llama-3.1-8B-UltraMedical,NVIDIA-Nemotron-Nano-9B-v2,0.48666666666666664,0.0
task,math500,Llama-3.1-8B-UltraMedical,gemma-2-9b-it,0.03999999999999998,0.094
task,math500,Qwen2.5-Coder-7B-Instruct,Qwen3-8B,0.2666666666666666,0.0
task,math500,Qwen2.5-Coder-7B-Instruct,Llama-3.1-8B-Instruct,0.15666666666666662,0.0
task,math500,Qwen2.5-Coder-7B-Instruct,NVIDIA-Nemotron-Nano-9B-v2,0.2733333333333333,0.0
task,math500,Qwen2.5-Coder-7B-Instruct,gemma-2-9b-it,0.17333333333333334,0.0
task,math500,Qwen3-8B,Llama-3.1-8B-Instruct,0.42333333333333323,0.0
task,math500,Qwen3-8B,NVIDIA-Nemotron-Nano-9B-v2,0.00666666666666671,0.294
task,math500,Qwen3-8B,gemma-2-9b-it,0.43999999999999995,0.0
task,math500,Llama-3.1-8B-Instruct,NVIDIA-Nemotron-Nano-9B-v2,0.42999999999999994,0.0
task,math500,Llama-3.1-8B-Instruct,gemma-2-9b-it,0.01666666666666672,0.268
task,math500,NVIDIA-Nemotron-Nano-9B-v2,gemma-2-9b-it,0.44666666666666666,0.0
task,livecodebench,DeepSeek-R1-0528-Qwen3-8B,Fin-R1,0.5576619273301738,0.0
task,livecodebench,DeepSeek-R1-0528-Qwen3-8B,Llama-3.1-8B-UltraMedical,0.4802527646129542,0.0
task,livecodebench,DeepSeek-R1-0528-Qwen3-8B,Qwen2.5-Coder-7B-Instruct,0.34913112164297,0.0
task,livecodebench,DeepSeek-R1-0528-Qwen3-8B,Qwen3-8B,0.03791469194312791,0.01
task,livecodebench,DeepSeek-R1-0528-Qwen3-8B,Llama-3.1-8B-Instruct,0.44865718799368093,0.0
task,livecodebench,DeepSeek-R1-0528-Qwen3-8B,NVIDIA-Nemotron-Nano-9B-v2,0.018957345971563955,0.146
task,livecodebench,DeepSeek-R1-0528-Qwen3-8B,gemma-2-9b-it,0.45181674565560825,0.0
task,livecodebench,Fin-R1,Llama-3.1-8B-UltraMedical,0.07740916271721958,0.0
task,livecodebench,Fin-R1,Qwen2.5-Coder-7B-Instruct,0.20853080568720378,0.0
task,livecodebench,Fin-R1,Qwen3-8B,0.5955766192733017,0.0
task,livecodebench,Fin-R1,Llama-3.1-8B-Instruct,0.10900473933649289,0.0
task,livecodebench,Fin-R1,NVIDIA-Nemotron-Nano-9B-v2,0.5766192733017378,0.0
task,livecodebench,Fin-R1,gemma-2-9b-it,0.10584518167456557,0.0
task,livecodebench,Llama-3.1-8B-UltraMedical,Qwen2.5-Coder-7B-Instruct,0.13112164296998421,0.0
task,livecodebench,Llama-3.1-8B-UltraMedical,Qwen3-8B,0.5181674565560821,0.0
task,livecodebench,Llama-3.1-8B-UltraMedical,Llama-3.1-8B-Instruct,0.03159557661927331,0.02
task,livecodebench,Llama-3.1-8B-UltraMedical,NVIDIA-Nemotron-Nano-9B-v2,0.49921011058451814,0.0
task,livecodebench,Llama-3.1-8B-UltraMedical,gemma-2-9b-it,0.028436018957345988,0.03
task,livecodebench,Qwen2.5-Coder-7B-Instruct,Qwen3-8B,0.3870458135860979,0.0
task,livecodebench,Qwen2.5-Coder-7B-Instruct,Llama-3.1-8B-Instruct,0.0995260663507109,0.0
task,livecodebench,Qwen2.5-Coder-7B-Instruct,NVIDIA-Nemotron-Nano-9B-v2,0.36808846761453395,0.0
task,livecodebench,Qwen2.5-Coder-7B-Instruct,gemma-2-9b-it,0.10268562401263823,0.0
task,livecodebench,Qwen3-8B,Llama-3.1-8B-Instruct,0.48657187993680884,0.0
task,livecodebench,Qwen3-8B,NVIDIA-Nemotron-Nano-9B-v2,0.018957345971563955,0.128
task,livecodebench,Qwen3-8B,gemma-2-9b-it,0.48973143759873616,0.0
task,livecodebench,Llama-3.1-8B-Instruct,NVIDIA-Nemotron-Nano-9B-v2,0.4676145339652449,0.0
task,livecodebench,Llama-3.1-8B-Instruct,gemma-2-9b-it,0.003159557661927326,0.436
task,livecodebench,NVIDIA-Nemotron-Nano-9B-v2,gemma-2-9b-it,0.4707740916271722,0.0
task,bbh,DeepSeek-R1-0528-Qwen3-8B,Fin-R1,0.2870370370370371,0.0
task,bbh,DeepSeek-R1-0528-Qwen3-8B,Llama-3.1-8B-UltraMedical,0.5046296296296297,0.0
task,bbh,DeepSeek-R1-0528-Qwen3-8B,Qwen2.5-Coder-7B-Instruct,0.3179012345679013,0.0
task,bbh,DeepSeek-R1-0528-Qwen3-8B,Qwen3-8B,0.04938271604938271,0.0
task,bbh,DeepSeek-R1-0528-Qwen3-8B,Llama-3.1-8B-Instruct,0.28395061728395066,0.0
task,bbh,DeepSeek-R1-0528-Qwen3-8B,NVIDIA-Nemotron-Nano-9B-v2,0.0185185185185186,0.088
task,bbh,DeepSeek-R1-0528-Qwen3-8B,gemma-2-9b-it,0.2762345679012346,0.0
task,bbh,Fin-R1,Llama-3.1-8B-UltraMedical,0.21759259259259256,0.0
task,bbh,Fin-R1,Qwen2.5-Coder-7B-Instruct,0.030864197530864224,0.08
task,bbh,Fin-R1,Qwen3-8B,0.23765432098765438,0.0
task,bbh,Fin-R1,Llama-3.1-8B-Instruct,0.0030864197530864335,0.424
task,bbh,Fin-R1,NVIDIA-Nemotron-Nano-9B-v2,0.2685185185185185,0.0
task,bbh,Fin-R1,gemma-2-9b-it,0.010802469135802517,0.346
task,bbh,Llama-3.1-8B-UltraMedical,Qwen2.5-Coder-7B-Instruct,0.18672839506172834,0.0
task,bbh,Llama-3.1-8B-UltraMedical,Qwen3-8B,0.45524691358024694,0.0
task,bbh,Llama-3.1-8B-UltraMedical,Llama-3.1-8B-Instruct,0.220679012345679,0.0
task,bbh,Llama-3.1-8B-UltraMedical,NVIDIA-Nemotron-Nano-9B-v2,0.48611111111111105,0.0
task,bbh,Llama-3.1-8B-UltraMedical,gemma-2-9b-it,0.22839506172839508,0.0
task,bbh,Qwen2.5-Coder-7B-Instruct,Qwen3-8B,0.2685185185185186,0.0
task,bbh,Qwen2.5-Coder-7B-Instruct,Llama-3.1-8B-Instruct,0.03395061728395066,0.074
task,bbh,Qwen2.5-Coder-7B-Instruct,NVIDIA-Nemotron-Nano-9B-v2,0.2993827160493827,0.0
task,bbh,Qwen2.5-Coder-7B-Instruct,gemma-2-9b-it,0.04166666666666674,0.046
task,bbh,Qwen3-8B,Llama-3.1-8B-Instruct,0.23456790123456794,0.0
task,bbh,Qwen3-8B,NVIDIA-Nemotron-Nano-9B-v2,0.030864197530864113,0.024
task,bbh,Qwen3-8B,gemma-2-9b-it,0.22685185185185186,0.0
task,bbh,Llama-3.1-8B-Instruct,NVIDIA-Nemotron-Nano-9B-v2,0.26543209876543206,0.0
task,bbh,Llama-3.1-8B-Instruct,gemma-2-9b-it,0.007716049382716084,0.376
task,bbh,NVIDIA-Nemotron-Nano-9B-v2,gemma-2-9b-it,0.257716049382716,0.0
task,mmlupro,DeepSeek-R1-0528-Qwen3-8B,Fin-R1,0.21797004991680535,0.0
task,mmlupro,DeepSeek-R1-0528-Qwen3-8B,Llama-3.1-8B-UltraMedical,0.32279534109816976,0.0
task,mmlupro,DeepSeek-R1-0528-Qwen3-8B,Qwen2.5-Coder-7B-Instruct,0.25291181364392684,0.0
task,mmlupro,DeepSeek-R1-0528-Qwen3-8B,Qwen3-8B,0.034941763727121544,0.01
task,mmlupro,DeepSeek-R1-0528-Qwen3-8B,Llama-3.1-8B-Instruct,0.25124792013311154,0.0
task,mmlupro,DeepSeek-R1-0528-Qwen3-8B,NVIDIA-Nemotron-Nano-9B-v2,0.016638935108153063,0.148
task,mmlupro,DeepSeek-R1-0528-Qwen3-8B,gemma-2-9b-it,0.17304492512479208,0.0
task,mmlupro,Fin-R1,Llama-3.1-8B-UltraMedical,0.10482529118136441,0.0
task,mmlupro,Fin-R1,Qwen2.5-Coder-7B-Instruct,0.03494176372712149,0.058
task,mmlupro,Fin-R1,Qwen3-8B,0.1830282861896838,0.0
task,mmlupro,Fin-R1,Llama-3.1-8B-Instruct,0.03327787021630618,0.054
task,mmlupro,Fin-R1,NVIDIA-Nemotron-Nano-9B-v2,0.2013311148086523,0.0
task,mmlupro,Fin-R1,gemma-2-9b-it,0.04492512479201327,0.028
