replicate,model,dataset,utility
0,DeepSeek-R1-0528-Qwen3-8B,math500,0.9633333333333334
0,DeepSeek-R1-0528-Qwen3-8B,livecodebench,0.6097946287519748
0,DeepSeek-R1-0528-Qwen3-8B,bbh,0.8919753086419753
0,DeepSeek-R1-0528-Qwen3-8B,mmlupro,0.6838602329450915
0,DeepSeek-R1-0528-Qwen3-8B,finqa,0.7194767441860465
0,DeepSeek-R1-0528-Qwen3-8B,medqa,0.7971204188481675
0,DeepSeek-R1-0528-Qwen3-8B,meld,0.5629228687415426
0,DeepSeek-R1-0528-Qwen3-8B,korbench,0.5466666666666666
0,Fin-R1,math500,0.8133333333333334
0,Fin-R1,livecodebench,0.06477093206951026
0,Fin-R1,bbh,0.6018518518518519
0,Fin-R1,mmlupro,0.4891846921797005
0,Fin-R1,finqa,0.686046511627907
0,Fin-R1,medqa,0.5942408376963351
0,Fin-R1,meld,0.5480378890392422
0,Fin-R1,korbench,0.31333333333333335
0,Llama-3.1-8B-UltraMedical,math500,0.4666666666666667
0,Llama-3.1-8B-UltraMedical,livecodebench,0.15481832543443919
0,Llama-3.1-8B-UltraMedical,bbh,0.375
0,Llama-3.1-8B-UltraMedical,mmlupro,0.36605657237936773
0,Llama-3.1-8B-UltraMedical,finqa,0.5450581395348837
0,Llama-3.1-8B-UltraMedical,medqa,0.6989528795811518
0,Llama-3.1-8B-UltraMedical,meld,0.4722598105548038
0,Llama-3.1-8B-UltraMedical,korbench,0.11066666666666666
0,Qwen2.5-Coder-7B-Instruct,math500,0.7
0,Qwen2.5-Coder-7B-Instruct,livecodebench,0.28278041074249605
0,Qwen2.5-Coder-7B-Instruct,bbh,0.5740740740740741
0,Qwen2.5-Coder-7B-Instruct,mmlupro,0.45923460898502494
0,Qwen2.5-Coder-7B-Instruct,finqa,0.625
0,Qwen2.5-Coder-7B-Instruct,medqa,0.46596858638743455
0,Qwen2.5-Coder-7B-Instruct,meld,0.5696887686062246
0,Qwen2.5-Coder-7B-Instruct,korbench,0.30933333333333335
0,Qwen3-8B,math500,0.9566666666666667
0,Qwen3-8B,livecodebench,0.6240126382306477
0,Qwen3-8B,bbh,0.8580246913580247
0,Qwen3-8B,mmlupro,0.6572379367720466
0,Qwen3-8B,finqa,0.7180232558139535
0,Qwen3-8B,medqa,0.7670157068062827
0,Qwen3-8B,meld,0.5832205683355887
0,Qwen3-8B,korbench,0.5293333333333333
0,Llama-3.1-8B-Instruct,math500,0.5933333333333334
0,Llama-3.1-8B-Instruct,livecodebench,0.1769352290679305
0,Llama-3.1-8B-Instruct,bbh,0.5925925925925926
0,Llama-3.1-8B-Instruct,mmlupro,0.4442595673876872
0,Llama-3.1-8B-Instruct,finqa,0.5479651162790697
0,Llama-3.1-8B-Instruct,medqa,0.6518324607329843
0,Llama-3.1-8B-Instruct,meld,0.5182679296346414
0,Llama-3.1-8B-Instruct,korbench,0.216
0,NVIDIA-Nemotron-Nano-9B-v2,math500,0.9566666666666667
0,NVIDIA-Nemotron-Nano-9B-v2,livecodebench,0.6034755134281201
0,NVIDIA-Nemotron-Nano-9B-v2,bbh,0.8765432098765432
0,NVIDIA-Nemotron-Nano-9B-v2,mmlupro,0.7021630615640599
0,NVIDIA-Nemotron-Nano-9B-v2,finqa,0.7034883720930233
0,NVIDIA-Nemotron-Nano-9B-v2,medqa,0.7277486910994765
0,NVIDIA-Nemotron-Nano-9B-v2,meld,0.530446549391069
0,NVIDIA-Nemotron-Nano-9B-v2,korbench,0.54
0,gemma-2-9b-it,math500,0.5133333333333333
0,gemma-2-9b-it,livecodebench,0.18009478672985782
0,gemma-2-9b-it,bbh,0.6033950617283951
0,gemma-2-9b-it,mmlupro,0.502495840266223
0,gemma-2-9b-it,finqa,0.6540697674418605
0,gemma-2-9b-it,medqa,0.599476439790576
0,gemma-2-9b-it,meld,0.5764546684709067
0,gemma-2-9b-it,korbench,0.30533333333333335
1,DeepSeek-R1-0528-Qwen3-8B,math500,0.9533333333333334
1,DeepSeek-R1-0528-Qwen3-8B,livecodebench,0.6382306477093207
1,DeepSeek-R1-0528-Qwen3-8B,bbh,0.904320987654321
1,DeepSeek-R1-0528-Qwen3-8B,mmlupro,0.7354409317803661
1,DeepSeek-R1-0528-Qwen3-8B,finqa,0.7209302325581395
1,DeepSeek-R1-0528-Qwen3-8B,medqa,0.8272251308900523
1,DeepSeek-R1-0528-Qwen3-8B,meld,0.5223274695534507
1,DeepSeek-R1-0528-Qwen3-8B,korbench,0.5546666666666666
1,Fin-R1,math500,0.76
1,Fin-R1,livecodebench,0.06951026856240126
1,Fin-R1,bbh,0.5817901234567902
1,Fin-R1,mmlupro,0.540765391014975
1,Fin-R1,finqa,0.688953488372093
1,Fin-R1,medqa,0.6164921465968587
1,Fin-R1,meld,0.5331529093369418
1,Fin-R1,korbench,0.316
1,Llama-3.1-8B-UltraMedical,math500,0.44
1,Llama-3.1-8B-UltraMedical,livecodebench,0.1484992101105845
1,Llama-3.1-8B-UltraMedical,bbh,0.3271604938271605
1,Llama-3.1-8B-UltraMedical,mmlupro,0.39600665557404324
1,Llama-3.1-8B-UltraMedical,finqa,0.5915697674418605
1,Llama-3.1-8B-UltraMedical,medqa,0.6858638743455497
1,Llama-3.1-8B-UltraMedical,meld,0.4438430311231394
1,Llama-3.1-8B-UltraMedical,korbench,0.11466666666666667
1,Qwen2.5-Coder-7B-Instruct,math500,0.68
1,Qwen2.5-Coder-7B-Instruct,livecodebench,0.2938388625592417
1,Qwen2.5-Coder-7B-Instruct,bbh,0.5385802469135802
1,Qwen2.5-Coder-7B-Instruct,mmlupro,0.47753743760399336
1,Qwen2.5-Coder-7B-Instruct,finqa,0.6351744186046512
1,Qwen2.5-Coder-7B-Instruct,medqa,0.47774869109947643
1,Qwen2.5-Coder-7B-Instruct,meld,0.530446549391069
1,Qwen2.5-Coder-7B-Instruct,korbench,0.324
1,Qwen3-8B,math500,0.9366666666666666
1,Qwen3-8B,livecodebench,0.660347551342812
1,Qwen3-8B,bbh,0.8333333333333334
1,Qwen3-8B,mmlupro,0.6855241264559068
1,Qwen3-8B,finqa,0.7543604651162791
1,Qwen3-8B,medqa,0.7696335078534031
1,Qwen3-8B,meld,0.5317997293640054
1,Qwen3-8B,korbench,0.5226666666666666
1,Llama-3.1-8B-Instruct,math500,0.5633333333333334
1,Llama-3.1-8B-Instruct,livecodebench,0.16903633491311215
1,Llama-3.1-8B-Instruct,bbh,0.5972222222222222
1,Llama-3.1-8B-Instruct,mmlupro,0.480865224625624
1,Llama-3.1-8B-Instruct,finqa,0.5537790697674418
1,Llama-3.1-8B-Instruct,medqa,0.6701570680628273
1,Llama-3.1-8B-Instruct,meld,0.489851150202977
1,Llama-3.1-8B-Instruct,korbench,0.20266666666666666
1,NVIDIA-Nemotron-Nano-9B-v2,math500,0.9333333333333333
1,NVIDIA-Nemotron-Nano-9B-v2,livecodebench,0.6350710900473934
1,NVIDIA-Nemotron-Nano-9B-v2,bbh,0.8703703703703703
1,NVIDIA-Nemotron-Nano-9B-v2,mmlupro,0.7088186356073212
1,NVIDIA-Nemotron-Nano-9B-v2,finqa,0.7252906976744186
1,NVIDIA-Nemotron-Nano-9B-v2,medqa,0.7408376963350786
1,NVIDIA-Nemotron-Nano-9B-v2,meld,0.489851150202977
1,NVIDIA-Nemotron-Nano-9B-v2,korbench,0.5386666666666666
1,gemma-2-9b-it,math500,0.49333333333333335
1,gemma-2-9b-it,livecodebench,0.18009478672985782
1,gemma-2-9b-it,bbh,0.5879629629629629
1,gemma-2-9b-it,mmlupro,0.5524126455906821
1,gemma-2-9b-it,finqa,0.6627906976744186
1,gemma-2-9b-it,medqa,0.6596858638743456
1,gemma-2-9b-it,meld,0.5466847090663058
1,gemma-2-9b-it,korbench,0.34
2,DeepSeek-R1-0528-Qwen3-8B,math500,0.9466666666666667
2,DeepSeek-R1-0528-Qwen3-8B,livecodebench,0.617693522906793
2,DeepSeek-R1-0528-Qwen3-8B,bbh,0.8919753086419753
2,DeepSeek-R1-0528-Qwen3-8B,mmlupro,0.7304492512479202
2,DeepSeek-R1-0528-Qwen3-8B,finqa,0.7311046511627907
2,DeepSeek-R1-0528-Qwen3-8B,medqa,0.8481675392670157
2,DeepSeek-R1-0528-Qwen3-8B,meld,0.5128552097428958
2,DeepSeek-R1-0528-Qwen3-8B,korbench,0.564
2,Fin-R1,math500,0.7366666666666667
2,Fin-R1,livecodebench,0.06477093206951026
2,Fin-R1,bbh,0.5972222222222222
2,Fin-R1,mmlupro,0.4875207986688852
2,Fin-R1,finqa,0.6991279069767442
2,Fin-R1,medqa,0.6387434554973822
2,Fin-R1,meld,0.5087956698240866
2,Fin-R1,korbench,0.336
2,Llama-3.1-8B-UltraMedical,math500,0.42
2,Llama-3.1-8B-UltraMedical,livecodebench,0.14218009478672985
2,Llama-3.1-8B-UltraMedical,bbh,0.38117283950617287
2,Llama-3.1-8B-UltraMedical,mmlupro,0.3860232945091514
2,Llama-3.1-8B-UltraMedical,finqa,0.5494186046511628
2,Llama-3.1-8B-UltraMedical,medqa,0.7408376963350786
2,Llama-3.1-8B-UltraMedical,meld,0.43031123139377536
2,Llama-3.1-8B-UltraMedical,korbench,0.10666666666666667
2,Qwen2.5-Coder-7B-Instruct,math500,0.6333333333333333
2,Qwen2.5-Coder-7B-Instruct,livecodebench,0.25434439178515006
2,Qwen2.5-Coder-7B-Instruct,bbh,0.5709876543209876
2,Qwen2.5-Coder-7B-Instruct,mmlupro,0.45757071547420963
2,Qwen2.5-Coder-7B-Instruct,finqa,0.6511627906976745
2,Qwen2.5-Coder-7B-Instruct,medqa,0.506544502617801
2,Qwen2.5-Coder-7B-Instruct,meld,0.5466847090663058
2,Qwen2.5-Coder-7B-Instruct,korbench,0.34933333333333333
2,Qwen3-8B,math500,0.93
2,Qwen3-8B,livecodebench,0.6619273301737757
2,Qwen3-8B,bbh,0.8364197530864198
2,Qwen3-8B,mmlupro,0.670549084858569
2,Qwen3-8B,finqa,0.7616279069767442
2,Qwen3-8B,medqa,0.8337696335078534
2,Qwen3-8B,meld,0.5453315290933695
2,Qwen3-8B,korbench,0.5386666666666666
2,Llama-3.1-8B-Instruct,math500,0.48
2,Llama-3.1-8B-Instruct,livecodebench,0.16429699842022116
2,Llama-3.1-8B-Instruct,bbh,0.6234567901234568
2,Llama-3.1-8B-Instruct,mmlupro,0.45757071547420963
2,Llama-3.1-8B-Instruct,finqa,0.5305232558139535
2,Llama-3.1-8B-Instruct,medqa,0.7225130890052356
2,Llama-3.1-8B-Instruct,meld,0.4952638700947226
2,Llama-3.1-8B-Instruct,korbench,0.20266666666666666
2,NVIDIA-Nemotron-Nano-9B-v2,math500,0.9466666666666667
2,NVIDIA-Nemotron-Nano-9B-v2,livecodebench,0.636650868878357
2,NVIDIA-Nemotron-Nano-9B-v2,bbh,0.8626543209876543
2,NVIDIA-Nemotron-Nano-9B-v2,mmlupro,0.6938435940099834
2,NVIDIA-Nemotron-Nano-9B-v2,finqa,0.7180232558139535
2,NVIDIA-Nemotron-Nano-9B-v2,medqa,0.768324607329843
2,NVIDIA-Nemotron-Nano-9B-v2,meld,0.5142083897158322
2,NVIDIA-Nemotron-Nano-9B-v2,korbench,0.5613333333333334
2,gemma-2-9b-it,math500,0.4766666666666667
2,gemma-2-9b-it,livecodebench,0.17535545023696683
2,gemma-2-9b-it,bbh,0.6141975308641975
2,gemma-2-9b-it,mmlupro,0.540765391014975
2,gemma-2-9b-it,finqa,0.6540697674418605
2,gemma-2-9b-it,medqa,0.6780104712041884
2,gemma-2-9b-it,meld,0.5385656292286874
2,gemma-2-9b-it,korbench,0.324
3,DeepSeek-R1-0528-Qwen3-8B,math500,0.95
3,DeepSeek-R1-0528-Qwen3-8B,livecodebench,0.660347551342812
3,DeepSeek-R1-0528-Qwen3-8B,bbh,0.8858024691358025
3,DeepSeek-R1-0528-Qwen3-8B,mmlupro,0.6988352745424293
3,DeepSeek-R1-0528-Qwen3-8B,finqa,0.7093023255813954
3,DeepSeek-R1-0528-Qwen3-8B,medqa,0.819371727748691
3,DeepSeek-R1-0528-Qwen3-8B,meld,0.5155615696887687
3,DeepSeek-R1-0528-Qwen3-8B,korbench,0.5466666666666666
3,Fin-R1,math500,0.7433333333333333
3,Fin-R1,livecodebench,0.07424960505529225
3,Fin-R1,bbh,0.595679012345679
3,Fin-R1,mmlupro,0.4858569051580699
3,Fin-R1,finqa,0.7122093023255814
3,Fin-R1,medqa,0.612565445026178
3,Fin-R1,meld,0.5142083897158322
3,Fin-R1,korbench,0.30933333333333335
3,Llama-3.1-8B-UltraMedical,math500,0.49
3,Llama-3.1-8B-UltraMedical,livecodebench,0.14691943127962084
3,Llama-3.1-8B-UltraMedical,bbh,0.38425925925925924
3,Llama-3.1-8B-UltraMedical,mmlupro,0.39267886855241263
3,Llama-3.1-8B-UltraMedical,finqa,0.561046511627907
3,Llama-3.1-8B-UltraMedical,medqa,0.668848167539267
3,Llama-3.1-8B-UltraMedical,meld,0.44248985115020295
3,Llama-3.1-8B-UltraMedical,korbench,0.10933333333333334
3,Qwen2.5-Coder-7B-Instruct,math500,0.6433333333333333
3,Qwen2.5-Coder-7B-Instruct,livecodebench,0.3001579778830964
3,Qwen2.5-Coder-7B-Instruct,bbh,0.5694444444444444
3,Qwen2.5-Coder-7B-Instruct,mmlupro,0.47420965058236275
3,Qwen2.5-Coder-7B-Instruct,finqa,0.6453488372093024
3,Qwen2.5-Coder-7B-Instruct,medqa,0.4698952879581152
3,Qwen2.5-Coder-7B-Instruct,meld,0.5385656292286874
3,Qwen2.5-Coder-7B-Instruct,korbench,0.32266666666666666
3,Qwen3-8B,math500,0.93
3,Qwen3-8B,livecodebench,0.6714060031595577
3,Qwen3-8B,bbh,0.8256172839506173
3,Qwen3-8B,mmlupro,0.6838602329450915
3,Qwen3-8B,finqa,0.7354651162790697
3,Qwen3-8B,medqa,0.7761780104712042
3,Qwen3-8B,meld,0.5385656292286874
3,Qwen3-8B,korbench,0.536
3,Llama-3.1-8B-Instruct,math500,0.5466666666666666
3,Llama-3.1-8B-Instruct,livecodebench,0.17851500789889416
3,Llama-3.1-8B-Instruct,bbh,0.5925925925925926
3,Llama-3.1-8B-Instruct,mmlupro,0.41264559068219636
3,Llama-3.1-8B-Instruct,finqa,0.5363372093023255
3,Llama-3.1-8B-Instruct,medqa,0.6714659685863874
3,Llama-3.1-8B-Instruct,meld,0.48308525033829497
3,Llama-3.1-8B-Instruct,korbench,0.2
3,NVIDIA-Nemotron-Nano-9B-v2,math500,0.9433333333333334
3,NVIDIA-Nemotron-Nano-9B-v2,livecodebench,0.6635071090047393
3,NVIDIA-Nemotron-Nano-9B-v2,bbh,0.8549382716049383
3,NVIDIA-Nemotron-Nano-9B-v2,mmlupro,0.697171381031614
3,NVIDIA-Nemotron-Nano-9B-v2,finqa,0.7136627906976745
3,NVIDIA-Nemotron-Nano-9B-v2,medqa,0.7356020942408377
3,NVIDIA-Nemotron-Nano-9B-v2,meld,0.503382949932341
3,NVIDIA-Nemotron-Nano-9B-v2,korbench,0.552
3,gemma-2-9b-it,math500,0.5033333333333333
3,gemma-2-9b-it,livecodebench,0.18799368088467613
3,gemma-2-9b-it,bbh,0.6126543209876543
3,gemma-2-9b-it,mmlupro,0.5341098169717138
3,gemma-2-9b-it,finqa,0.6206395348837209
3,gemma-2-9b-it,medqa,0.6308900523560209
3,gemma-2-9b-it,meld,0.5331529093369418
3,gemma-2-9b-it,korbench,0.33466666666666667
4,DeepSeek-R1-0528-Qwen3-8B,math500,0.9733333333333334
4,DeepSeek-R1-0528-Qwen3-8B,livecodebench,0.6287519747235387
4,DeepSeek-R1-0528-Qwen3-8B,bbh,0.9012345679012346
4,DeepSeek-R1-0528-Qwen3-8B,mmlupro,0.7121464226289518
4,DeepSeek-R1-0528-Qwen3-8B,finqa,0.7020348837209303
4,DeepSeek-R1-0528-Qwen3-8B,medqa,0.819371727748691
4,DeepSeek-R1-0528-Qwen3-8B,meld,0.5588633288227334
4,DeepSeek-R1-0528-Qwen3-8B,korbench,0.5306666666666666
4,Fin-R1,math500,0.77
4,Fin-R1,livecodebench,0.08056872037914692
4,Fin-R1,bbh,0.5941358024691358
4,Fin-R1,mmlupro,0.5108153078202995
4,Fin-R1,finqa,0.6787790697674418
4,Fin-R1,medqa,0.6204188481675392
4,Fin-R1,meld,0.5155615696887687
4,Fin-R1,korbench,0.2813333333333333
4,Llama-3.1-8B-UltraMedical,math500,0.49666666666666665
4,Llama-3.1-8B-UltraMedical,livecodebench,0.14691943127962084
4,Llama-3.1-8B-UltraMedical,bbh,0.38580246913580246
4,Llama-3.1-8B-UltraMedical,mmlupro,0.37104825291181365
4,Llama-3.1-8B-UltraMedical,finqa,0.5247093023255814
4,Llama-3.1-8B-UltraMedical,medqa,0.6727748691099477
4,Llama-3.1-8B-UltraMedical,meld,0.4668470906630582
4,Llama-3.1-8B-UltraMedical,korbench,0.11066666666666666
4,Qwen2.5-Coder-7B-Instruct,math500,0.6666666666666666
4,Qwen2.5-Coder-7B-Instruct,livecodebench,0.2859399684044234
4,Qwen2.5-Coder-7B-Instruct,bbh,0.5324074074074074
4,Qwen2.5-Coder-7B-Instruct,mmlupro,0.44093178036605657
4,Qwen2.5-Coder-7B-Instruct,finqa,0.626453488372093
4,Qwen2.5-Coder-7B-Instruct,medqa,0.48429319371727747
4,Qwen2.5-Coder-7B-Instruct,meld,0.5493910690121786
4,Qwen2.5-Coder-7B-Instruct,korbench,0.32
4,Qwen3-8B,math500,0.9633333333333334
4,Qwen3-8B,livecodebench,0.669826224328594
4,Qwen3-8B,bbh,0.8441358024691358
4,Qwen3-8B,mmlupro,0.6605657237936772
4,Qwen3-8B,finqa,0.7340116279069767
4,Qwen3-8B,medqa,0.8010471204188482
4,Qwen3-8B,meld,0.5669824086603519
4,Qwen3-8B,korbench,0.5146666666666667
4,Llama-3.1-8B-Instruct,math500,0.5266666666666666
4,Llama-3.1-8B-Instruct,livecodebench,0.18799368088467613
4,Llama-3.1-8B-Instruct,bbh,0.6157407407407407
4,Llama-3.1-8B-Instruct,mmlupro,0.46422628951747086
4,Llama-3.1-8B-Instruct,finqa,0.5072674418604651
4,Llama-3.1-8B-Instruct,medqa,0.6780104712041884
4,Llama-3.1-8B-Instruct,meld,0.5209742895805142
