model,dataset,mean,std,p2_5,p50,p97_5
DeepSeek-R1-0528-Qwen3-8B,bbh,0.8819074074074074,0.012344270250408339,0.8572145061728396,0.8827160493827161,0.9058641975308642
DeepSeek-R1-0528-Qwen3-8B,finqa,0.7115494186046512,0.016640380448147796,0.680922965116279,0.7107558139534884,0.7427325581395349
DeepSeek-R1-0528-Qwen3-8B,korbench,0.553416,0.01800458419074266,0.5179666666666667,0.5533333333333333,0.5887
DeepSeek-R1-0528-Qwen3-8B,livecodebench,0.6292511848341232,0.019083308740663243,0.5892575039494471,0.6287519747235387,0.665086887835703
DeepSeek-R1-0528-Qwen3-8B,math500,0.9469066666666667,0.012898217587044122,0.9233333333333333,0.9466666666666667,0.9717499999999999
DeepSeek-R1-0528-Qwen3-8B,medqa,0.8099031413612565,0.013771016322834752,0.7840314136125655,0.8102094240837696,0.8357657068062827
DeepSeek-R1-0528-Qwen3-8B,meld,0.5197077131258457,0.017664297206779905,0.4864343707713126,0.5196211096075778,0.5541610284167794
DeepSeek-R1-0528-Qwen3-8B,mmlupro,0.7074309484193012,0.019176840705644127,0.670549084858569,0.7071547420965059,0.7454242928452579
Fin-R1,bbh,0.5949969135802469,0.01975926558938874,0.5601851851851852,0.5941358024691358,0.6342592592592593
Fin-R1,finqa,0.6923953488372093,0.01769684368778098,0.6584302325581395,0.6933139534883721,0.7267441860465116
Fin-R1,korbench,0.3236853333333333,0.016792460693386926,0.28933333333333333,0.32266666666666666,0.35739999999999994
Fin-R1,livecodebench,0.07165560821484993,0.010000634383110323,0.052132701421800945,0.07109004739336493,0.09162717219589257
Fin-R1,math500,0.7635933333333333,0.02365036931691644,0.72,0.7633333333333333,0.81
Fin-R1,medqa,0.6118507853403141,0.01687315663839164,0.5772251308900523,0.612565445026178,0.6420484293193717
Fin-R1,meld,0.5132286874154263,0.018576393232882262,0.47966847090663056,0.5128552097428958,0.5520974289580515
Fin-R1,mmlupro,0.48848252911813644,0.02095880096338876,0.4492512479201331,0.4891846921797005,0.5283277870216305
Llama-3.1-8B-Instruct,bbh,0.5980648148148148,0.019545391830767173,0.5601851851851852,0.5972222222222222,0.6373456790123457
Llama-3.1-8B-Instruct,finqa,0.5247587209302326,0.01825458195422335,0.4898255813953488,0.5232558139534884,0.5589026162790697
Llama-3.1-8B-Instruct,korbench,0.215832,0.01570140686972702,0.18666666666666668,0.216,0.24666666666666667
Llama-3.1-8B-Instruct,livecodebench,0.18103317535545022,0.014777491707214752,0.15323854660347552,0.18167456556082148,0.21334913112164292
Llama-3.1-8B-Instruct,math500,0.51658,0.02910092772844156,0.4533333333333333,0.52,0.5666666666666667
Llama-3.1-8B-Instruct,medqa,0.6842722513089006,0.01684716576957503,0.6537630890052356,0.6845549738219895,0.7146596858638743
Llama-3.1-8B-Instruct,meld,0.4807036535859269,0.01770530346121494,0.447192151556157,0.4803788903924222,0.5135656292286873
Llama-3.1-8B-Instruct,mmlupro,0.4560965058236273,0.0216025754679229,0.41264559068219636,0.4559068219633943,0.49916805324459235
Llama-3.1-8B-UltraMedical,bbh,0.37644444444444447,0.01902721730071374,0.3395061728395062,0.3765432098765432,0.41211419753086415
Llama-3.1-8B-UltraMedical,finqa,0.5382005813953489,0.01860272565528434,0.5035973837209302,0.5377906976744186,0.5741279069767442
Llama-3.1-8B-UltraMedical,korbench,0.11862666666666667,0.011594968157487385,0.09663333333333333,0.11866666666666667,0.14133333333333334
Llama-3.1-8B-UltraMedical,livecodebench,0.15002843601895732,0.01335243532056351,0.12239336492890995,0.1500789889415482,0.17535545023696683
Llama-3.1-8B-UltraMedical,math500,0.4605,0.028916356005253805,0.4066666666666667,0.46,0.5166666666666667
Llama-3.1-8B-UltraMedical,medqa,0.6838926701570681,0.016786766829533964,0.6511452879581151,0.6839005235602094,0.7153468586387434
Llama-3.1-8B-UltraMedical,meld,0.4335832205683356,0.018909974675241695,0.395128552097429,0.43437077131258456,0.4743234100135318
Llama-3.1-8B-UltraMedical,mmlupro,0.38375707154742095,0.020167100854201245,0.34688019966722133,0.3843594009983361,0.4209650582362729
NVIDIA-Nemotron-Nano-9B-v2,bbh,0.8636574074074074,0.013610995821675922,0.8364197530864198,0.8626543209876543,0.8904320987654321
NVIDIA-Nemotron-Nano-9B-v2,finqa,0.7134883720930233,0.016675055232779255,0.6787790697674418,0.7136627906976745,0.7456395348837209
NVIDIA-Nemotron-Nano-9B-v2,korbench,0.5549013333333334,0.018752214695893672,0.5193,0.5533333333333333,0.5933333333333334
NVIDIA-Nemotron-Nano-9B-v2,livecodebench,0.6490458135860979,0.018761785734131276,0.6121248025276461,0.6477093206951027,0.6919431279620853
NVIDIA-Nemotron-Nano-9B-v2,math500,0.9465466666666666,0.01334948253808873,0.92,0.9466666666666667,0.9717499999999999
NVIDIA-Nemotron-Nano-9B-v2,medqa,0.7220366492146596,0.015808095659344275,0.693717277486911,0.7218586387434556,0.7526178010471204
NVIDIA-Nemotron-Nano-9B-v2,meld,0.49551826792963466,0.01754113422059644,0.46072395128552096,0.4952638700947226,0.5290933694181326
NVIDIA-Nemotron-Nano-9B-v2,mmlupro,0.6907554076539102,0.019354011343873725,0.6530366056572379,0.6921797004991681,0.7279950083194675
Qwen2.5-Coder-7B-Instruct,bbh,0.5628765432098766,0.0189408975646338,0.5246913580246914,0.5648148148148148,0.5972222222222222
Qwen2.5-Coder-7B-Instruct,finqa,0.6428720930232559,0.01753701846649782,0.6061046511627907,0.6431686046511629,0.6773255813953488
Qwen2.5-Coder-7B-Instruct,korbench,0.334928,0.017396502948924114,0.30133333333333334,0.336,0.37066666666666664
Qwen2.5-Coder-7B-Instruct,livecodebench,0.2819652448657188,0.01716266629485323,0.24960505529225907,0.28278041074249605,0.3152053712480252
Qwen2.5-Coder-7B-Instruct,math500,0.6734066666666666,0.026316487513155334,0.61825,0.6733333333333333,0.7233333333333334
Qwen2.5-Coder-7B-Instruct,medqa,0.47745287958115185,0.018368907821629143,0.4410994764397906,0.47774869109947643,0.5137761780104712
Qwen2.5-Coder-7B-Instruct,meld,0.5329174560216509,0.017914705890999492,0.5006765899864682,0.5317997293640054,0.5683355886332883
Qwen2.5-Coder-7B-Instruct,mmlupro,0.4542262895174709,0.020682867632582713,0.41509983361064895,0.454242928452579,0.49338602329450915
Qwen3-8B,bbh,0.8321851851851852,0.014743350171063398,0.8040123456790124,0.8317901234567902,0.8611111111111112
Qwen3-8B,finqa,0.7356918604651163,0.01658710640749317,0.7049418604651163,0.7354651162790697,0.7674418604651163
Qwen3-8B,korbench,0.5313413333333333,0.017118652246356458,0.49866666666666665,0.532,0.5647
Qwen3-8B,livecodebench,0.6676619273301737,0.01794723497633236,0.6350710900473934,0.6682464454976303,0.7038309636650868
Qwen3-8B,math500,0.9401866666666666,0.014117261882355184,0.91,0.94,0.9650833333333333
Qwen3-8B,medqa,0.7794633507853403,0.014697622948530234,0.75,0.7787958115183246,0.8075916230366492
Qwen3-8B,meld,0.5406468200270637,0.0187641288918405,0.5047361299052774,0.5412719891745602,0.5751014884979703
Qwen3-8B,mmlupro,0.6724359400998337,0.01974654865120353,0.6339434276206323,0.6722129783693843,0.7121464226289518
gemma-2-9b-it,bbh,0.6056234567901234,0.020615330331725745,0.5632716049382716,0.6064814814814815,0.6466049382716049
gemma-2-9b-it,finqa,0.6420232558139535,0.018365351045381194,0.6053415697674418,0.6424418604651163,0.6780886627906976
gemma-2-9b-it,korbench,0.33405599999999996,0.017551184097877457,0.2986666666666667,0.33466666666666667,0.37066666666666664
gemma-2-9b-it,livecodebench,0.17720695102685624,0.014987299477419808,0.1484992101105845,0.1769352290679305,0.207780410742496
gemma-2-9b-it,math500,0.4981333333333333,0.02714468027689163,0.44333333333333336,0.49666666666666665,0.55
gemma-2-9b-it,medqa,0.6359764397905759,0.017511846679772708,0.6034031413612565,0.6361256544502618,0.6701570680628273
gemma-2-9b-it,meld,0.5365006765899865,0.018422142851369495,0.5006765899864682,0.5385656292286874,0.5723951285520974
gemma-2-9b-it,mmlupro,0.5342828618968385,0.0201606504090338,0.49417637271214643,0.5357737104825291,0.5723793677204659
