dataset,record_index,split
bbh,504,train
bbh,478,train
bbh,148,train
bbh,1045,train
bbh,900,train
bbh,366,train
bbh,889,train
bbh,887,train
bbh,1,train
bbh,712,train
bbh,18,train
bbh,1008,train
bbh,592,train
bbh,721,train
bbh,439,train
bbh,833,train
bbh,402,train
bbh,1002,train
bbh,270,train
bbh,826,train
bbh,78,train
bbh,655,train
bbh,379,train
bbh,973,train
bbh,1058,train
bbh,351,train
bbh,460,train
bbh,727,train
bbh,845,train
bbh,872,train
bbh,462,train
bbh,628,train
bbh,509,train
bbh,533,train
bbh,485,train
bbh,1019,train
bbh,760,train
bbh,830,train
bbh,38,train
bbh,6,train
bbh,507,train
bbh,413,train
bbh,1036,train
bbh,114,train
bbh,458,train
bbh,245,train
bbh,213,train
bbh,26,train
bbh,329,train
bbh,769,train
bbh,111,train
bbh,431,train
bbh,572,train
bbh,490,train
bbh,295,train
bbh,977,train
bbh,987,train
bbh,847,train
bbh,206,train
bbh,605,train
bbh,913,train
bbh,752,train
bbh,571,train
bbh,718,train
bbh,1052,train
bbh,8,train
bbh,45,train
bbh,271,train
bbh,810,train
bbh,238,train
bbh,54,train
bbh,381,train
bbh,120,train
bbh,403,train
bbh,929,train
bbh,684,train
bbh,39,train
bbh,520,train
bbh,121,train
bbh,806,train
bbh,430,train
bbh,705,train
bbh,822,train
bbh,411,train
bbh,321,train
bbh,395,train
bbh,683,train
bbh,879,train
bbh,573,train
bbh,139,train
bbh,473,train
bbh,575,train
bbh,23,train
bbh,356,train
bbh,892,train
bbh,876,train
bbh,723,train
bbh,200,train
bbh,345,train
bbh,608,train
bbh,1011,train
bbh,2,train
bbh,648,train
bbh,77,train
bbh,355,train
bbh,693,train
bbh,522,train
bbh,754,train
bbh,836,train
bbh,997,train
bbh,649,train
bbh,1017,train
bbh,477,train
bbh,808,train
bbh,248,train
bbh,372,train
bbh,645,train
bbh,594,train
bbh,212,train
bbh,793,train
bbh,910,train
bbh,106,train
bbh,302,train
bbh,873,train
bbh,387,train
bbh,350,train
bbh,186,train
bbh,414,train
bbh,731,train
bbh,41,train
bbh,454,train
bbh,86,train
bbh,369,train
bbh,975,train
bbh,724,train
bbh,802,train
bbh,827,train
bbh,868,train
bbh,66,train
bbh,736,train
bbh,814,train
bbh,946,train
bbh,476,train
bbh,625,train
bbh,202,train
bbh,109,train
bbh,591,train
bbh,894,train
bbh,423,train
bbh,1009,train
bbh,912,train
bbh,1018,train
bbh,123,train
bbh,392,train
bbh,715,train
bbh,497,train
bbh,735,train
bbh,865,train
bbh,1014,train
bbh,1071,train
bbh,992,train
bbh,59,train
bbh,666,train
bbh,1004,train
bbh,692,train
bbh,677,train
bbh,72,train
bbh,1022,train
bbh,978,train
bbh,513,train
bbh,858,train
bbh,976,train
bbh,1059,train
bbh,152,train
bbh,744,train
bbh,33,train
bbh,1069,train
bbh,734,train
bbh,320,train
bbh,338,train
bbh,742,train
bbh,17,train
bbh,531,train
bbh,918,train
bbh,475,train
bbh,855,train
bbh,1032,train
bbh,421,train
bbh,689,train
bbh,94,train
bbh,646,train
bbh,46,train
