algorithm,seed,stopped,T_stop,final_exact,final_regret,best_regret,final_cum_regret,n_checks,elapsed_seconds,target,arm
p2etg,0,True,13296,True,0.0,0.0,11.63218402523694,555,0.691120124887675,0.9,P2ETG
p2etg,1,True,18168,True,0.0,0.0,55.953818159739676,758,0.8450117078609765,0.9,P2ETG
p2etg,2,False,40000,True,0.0,0.0,25.209184854035833,1667,1.823256874922663,0.9,P2ETG
p2etg,3,True,8280,True,0.0,0.0,13.958620830284328,346,0.4498551250435412,0.9,P2ETG
p2etg,4,True,19920,True,0.0,0.0,47.248118366251816,831,0.9680773331783712,0.9,P2ETG
p2etg,5,True,6504,True,0.0,0.0,17.389793710169823,272,0.35320079093798995,0.9,P2ETG
p2etg,6,True,12120,True,0.0,0.0,56.89826960668026,506,0.5920021673664451,0.9,P2ETG
p2etg,7,False,40000,True,0.0,0.0,137.85210856241764,1667,1.7728380421176553,0.9,P2ETG
p2etg,8,True,24360,True,0.0,0.0,7.129876430782113,1016,1.2085986663587391,0.9,P2ETG
p2etg,9,True,7800,True,0.0,0.0,30.309749513328605,326,0.42645841697230935,0.9,P2ETG
p2etg,10,True,4320,True,0.0,0.0,222.8961017513134,181,0.2431283751502633,0.9,P2ETG
p2etg,11,True,19272,True,0.0,0.0,19.10538015011257,804,0.9057919587939978,0.9,P2ETG
p2etg,12,True,12576,True,0.0,0.0,33.97919156323438,525,0.6157574579119682,0.9,P2ETG
p2etg,13,True,6240,True,0.0,0.0,79.29924047809726,261,0.3563115829601884,0.9,P2ETG
p2etg,14,False,40000,True,0.0,0.0,44.57922035026266,1667,1.7526176669634879,0.9,P2ETG
p2etg,15,True,32736,True,0.0,0.0,40.9352251041862,1365,1.4342892081476748,0.9,P2ETG
p2etg,16,True,3024,True,0.0,0.0,31.377647105111635,127,0.17275704070925713,0.9,P2ETG
p2etg,17,True,31008,True,0.0,0.0,27.993483646986512,1293,1.3726836671121418,0.9,P2ETG
p2etg,18,True,16752,True,0.0,0.0,19.660663727245314,699,0.8272691667079926,0.9,P2ETG
p2etg,19,True,18456,True,0.0,0.0,30.309749513328605,770,0.874271625187248,0.9,P2ETG
preflid,0,True,762,True,0.0,0.0,36.00521516009542,128,0.10604629199951887,0.9,PrefLID-cert
preflid,1,True,1314,True,0.0,0.0,47.51866917692133,220,0.18339341692626476,0.9,PrefLID-cert
preflid,2,True,804,True,0.0,0.0,61.53095641906417,135,0.10879774997010827,0.9,PrefLID-cert
preflid,3,True,2682,True,0.0,0.0,20.827694180257204,448,0.48268358362838626,0.9,PrefLID-cert
preflid,4,True,1512,True,0.0,0.0,11.588765487496698,253,0.26877066725865006,0.9,PrefLID-cert
preflid,5,True,792,True,0.0,0.0,39.79748225667318,133,0.08051162539049983,0.9,PrefLID-cert
