model,dataset,mean,std,p2_5,p50,p97_5
DeepSeek-R1-0528-Qwen3-8B,emorynlp,0.011980177717019822,0.015385889571457761,-0.018976418318523584,0.01161995898838003,0.04153280929596713
DeepSeek-R1-0528-Qwen3-8B,finqa,0.044137458471760795,0.010074612806835062,0.02460029069767449,0.04443521594684374,0.0654173588039867
DeepSeek-R1-0528-Qwen3-8B,humaneval,-0.4368600583090379,0.03747430794574778,-0.510969387755102,-0.43440233236151604,-0.36658163265306126
DeepSeek-R1-0528-Qwen3-8B,korbench,0.1251847619047619,0.015104817958638193,0.09409523809523809,0.12580952380952382,0.15334285714285723
DeepSeek-R1-0528-Qwen3-8B,math500,0.19096285714285713,0.013706798428804507,0.16476190476190472,0.19047619047619047,0.22072619047619033
DeepSeek-R1-0528-Qwen3-8B,mbpp,-0.264690313111546,0.017601114847975913,-0.2983304794520547,-0.2656555772994129,-0.2293113992172212
DeepSeek-R1-0528-Qwen3-8B,medqa,0.16544315632011966,0.012385423551183904,0.14088911742707547,0.1657629020194465,0.19044970082273746
DeepSeek-R1-0528-Qwen3-8B,meld,-0.0030674656872221153,0.013454239846751356,-0.02871157935433987,-0.0032862942199883838,0.02465203943553061
Fin-R1,emorynlp,-0.0009084073820915931,0.018997047946282503,-0.03896103896103903,-0.0005126452494873535,0.03656869446343128
Fin-R1,finqa,0.022247093023255806,0.011713626131088228,-0.0014638704318937455,0.022113787375415306,0.04599771594684383
Fin-R1,humaneval,0.14459766763848395,0.03797889300898949,0.06997084548104954,0.14504373177842567,0.21574344023323622
Fin-R1,korbench,-0.13736457142857142,0.011603980575344437,-0.16125238095238092,-0.13714285714285712,-0.1144666666666667
Fin-R1,math500,-0.018538095238095232,0.01830636783607159,-0.055011904761904915,-0.01809523809523811,0.018571428571428742
Fin-R1,mbpp,0.12397896281800393,0.01408928602030017,0.09833659491193736,0.12451076320939336,0.15350415851272017
Fin-R1,medqa,-0.060902393418100234,0.014753596673292327,-0.09163238593866861,-0.06048990276738975,-0.03234854151084526
Fin-R1,meld,-0.010472066499130095,0.014945687919154422,-0.0382756620916295,-0.010438816934080886,0.01827276242025898
GLM-Z1-9B-0414,emorynlp,-0.022775803144224196,0.01825116150548941,-0.05845864661654137,-0.022898154477101862,0.012987012987012991
GLM-Z1-9B-0414,finqa,0.01724709302325581,0.011174095054364015,-0.0038569352159468014,0.017545681063122875,0.039659468438538244
GLM-Z1-9B-0414,humaneval,-0.009338192419825076,0.046130982709485846,-0.09766763848396495,-0.008746355685131102,0.08163265306122436
GLM-Z1-9B-0414,korbench,0.11019657142857144,0.013224312620697544,0.08691904761904762,0.10942857142857149,0.13639047619047615
GLM-Z1-9B-0414,math500,0.20212476190476192,0.014336555489603369,0.1764166666666666,0.2026190476190476,0.22977380952380946
GLM-Z1-9B-0414,mbpp,0.052522994129158514,0.017131241706256642,0.021037181996086115,0.05271526418786693,0.08673556751467701
GLM-Z1-9B-0414,medqa,0.04558676140613313,0.014392443524291131,0.01644540014958868,0.04590501121914731,0.07340594614809265
GLM-Z1-9B-0414,meld,-0.057299826019717774,0.015194320092781528,-0.08544364971969845,-0.058380050260970456,-0.027063599458727966
Intern-S1-mini,emorynlp,-0.016399863294600137,0.01680385757627429,-0.050811688311688294,-0.017259056732740946,0.015379357484620607
Intern-S1-mini,finqa,0.03515406976744186,0.011179662230451073,0.012043189368770742,0.03592192691029916,0.0564784053156146
Intern-S1-mini,humaneval,-0.18288921282798834,0.043390322872568866,-0.26169825072886305,-0.18367346938775503,-0.09475218658892137
Intern-S1-mini,korbench,0.15079390476190477,0.014609371465799414,0.12283809523809527,0.15047619047619049,0.1787857142857143
Intern-S1-mini,math500,0.16827333333333333,0.015296806062308509,0.140952380952381,0.16833333333333328,0.1983452380952381
Intern-S1-mini,mbpp,-0.15587622309197652,0.018879193319406816,-0.19497309197651658,-0.15618884540117423,-0.12131849315068496
Intern-S1-mini,medqa,0.032781974569932676,0.013341378307722746,0.007834704562453347,0.03272251308900537,0.05723635003739721
Intern-S1-mini,meld,-0.01500637927701527,0.01271588893308635,-0.03876377343901024,-0.01556156968876854,0.010346994007345778
Qwen2.5-Coder-7B-Instruct,emorynlp,-0.016142857142857143,0.01686388987992988,-0.05009398496240602,-0.01623376623376621,0.01453349282296647
Qwen2.5-Coder-7B-Instruct,finqa,-0.034350913621262455,0.014045733857784648,-0.060117317275747546,-0.034572259136212646,-0.004557724252491825
Qwen2.5-Coder-7B-Instruct,humaneval,0.2614723032069971,0.03751581044463086,0.1851311953352769,0.2609329446064139,0.33166909620991253
Qwen2.5-Coder-7B-Instruct,korbench,-0.12451580952380953,0.011679334874250947,-0.1459238095238095,-0.12438095238095234,-0.1003333333333334
Qwen2.5-Coder-7B-Instruct,math500,-0.12160857142857143,0.021673301717212077,-0.16478571428571429,-0.12095238095238092,-0.07904761904761903
Qwen2.5-Coder-7B-Instruct,mbpp,0.20184197651663405,0.01589593230727405,0.1718383072407045,0.20181017612524466,0.23472969667318985
Qwen2.5-Coder-7B-Instruct,medqa,-0.2145,0.016907084965362595,-0.24976159311892304,-0.21465968586387443,-0.18126869857890807
Qwen2.5-Coder-7B-Instruct,meld,0.012029383336555195,0.014354113678687448,-0.016856756234293332,0.011791996907017155,0.04144596945679478
Qwen3-8B,emorynlp,0.019635680109364322,0.015500766622893628,-0.01095352016404649,0.019822282980177686,0.0497522214627478
Qwen3-8B,finqa,0.07172882059800663,0.009318058602045556,0.05274086378737536,0.07205149501661146,0.0886627906976743
Qwen3-8B,humaneval,0.051326530612244896,0.03987007156248073,-0.02478134110787178,0.05102040816326525,0.131268221574344
Qwen3-8B,korbench,0.09995657142857144,0.01244395432986665,0.07693333333333335,0.09980952380952374,0.12619523809523808
