dataset,model,mean,std,p2_5,p50,p97_5
emorynlp,DeepSeek-R1-0528-Qwen3-8B,0.369244019138756,0.02273637548974492,0.3229665071770335,0.3684210526315789,0.41626794258373206
emorynlp,Fin-R1,0.35796650717703354,0.023935080255393693,0.31100478468899523,0.35645933014354064,0.4043062200956938
emorynlp,GLM-Z1-9B-0414,0.3388325358851675,0.021969648954360255,0.2966507177033493,0.3397129186602871,0.3803827751196172
emorynlp,Intern-S1-mini,0.3444114832535885,0.021867364036265217,0.3014354066985646,0.3444976076555024,0.3875598086124402
emorynlp,Qwen2.5-Coder-7B-Instruct,0.34463636363636363,0.0234980829987741,0.29904306220095694,0.3444976076555024,0.3875598086124402
emorynlp,Qwen3-8B,0.3759425837320574,0.024403716833372165,0.33253588516746413,0.37559808612440193,0.4223086124401913
emorynlp,gemma-2-9b-it,0.37086602870813395,0.024611305192704453,0.31931818181818183,0.3708133971291866,0.42105263157894735
emorynlp,glm-4-9b-chat,0.3681913875598086,0.022971888123218348,0.3241028708133971,0.3684210526315789,0.41148325358851673
finqa,DeepSeek-R1-0528-Qwen3-8B,0.7115494186046512,0.016640380448147796,0.680922965116279,0.7107558139534884,0.7427325581395349
finqa,Fin-R1,0.6923953488372093,0.01769684368778098,0.6584302325581395,0.6933139534883721,0.7267441860465116
finqa,GLM-Z1-9B-0414,0.6880203488372093,0.0173699746180501,0.6569767441860465,0.6875,0.7231468023255813
finqa,Intern-S1-mini,0.7036889534883721,0.017431842159801873,0.6715116279069767,0.7034883720930233,0.7383720930232558
finqa,Qwen2.5-Coder-7B-Instruct,0.6428720930232559,0.01753701846649782,0.6061046511627907,0.6431686046511629,0.6773255813953488
finqa,Qwen3-8B,0.7356918604651163,0.01658710640749317,0.7049418604651163,0.7354651162790697,0.7674418604651163
finqa,gemma-2-9b-it,0.6420232558139535,0.018365351045381194,0.6053415697674418,0.6424418604651163,0.6780886627906976
finqa,glm-4-9b-chat,0.5671918604651163,0.01836160228042225,0.5283066860465117,0.5668604651162791,0.6017441860465116
humaneval,DeepSeek-R1-0528-Qwen3-8B,0.22512244897959183,0.0409772450564355,0.14285714285714285,0.22448979591836735,0.29591836734693877
humaneval,Fin-R1,0.7338979591836735,0.04472874500677582,0.647704081632653,0.7346938775510204,0.8163265306122449
humaneval,GLM-Z1-9B-0414,0.599204081632653,0.05037702802580344,0.5102040816326531,0.6020408163265306,0.6938775510204082
humaneval,Intern-S1-mini,0.4473469387755102,0.05034148088463965,0.35714285714285715,0.4489795918367347,0.5510204081632653
humaneval,Qwen2.5-Coder-7B-Instruct,0.8361632653061224,0.03719585655516624,0.7551020408163265,0.8367346938775511,0.903316326530612
humaneval,Qwen3-8B,0.6522857142857144,0.04795527208710495,0.5510204081632653,0.6530612244897959,0.7448979591836735
humaneval,gemma-2-9b-it,0.611673469387755,0.04724361468586208,0.5204081632653061,0.6122448979591837,0.7040816326530612
humaneval,glm-4-9b-chat,0.7533061224489797,0.04256928554212187,0.673469387755102,0.7551020408163265,0.8367346938775511
