,cogito-v1-preview-llama-8B,DeepHermes-3-Llama-3-8B-Preview,DeepSeek-R1-0528-Qwen3-8B,DeepSeek-R1-Distill-Qwen-7B,Fin-R1,gemma-2-9b-it,glm-4-9b-chat,GLM-Z1-9B-0414,granite-3.3-8b-instruct,Intern-S1-mini,internlm3-8b-instruct,Llama-3.1-8B-Instruct,Llama-3.1-8B-UltraMedical,Llama-3.1-Nemotron-Nano-8B-v1,MiMo-7B-RL-0530,MiniCPM4.1-8B,NVIDIA-Nemotron-Nano-9B-v2,OpenThinker3-7B,Qwen3-8B,Qwen2.5-Coder-7B-Instruct
aime,0.016666666666666666,0.0,0.6833333333333333,0.4,0.11666666666666667,0.016666666666666666,0.016666666666666666,0.6166666666666667,0.06666666666666667,0.7666666666666667,0.06666666666666667,0.08333333333333333,0.0,0.45,0.0,0.6833333333333333,0.7,0.4166666666666667,0.7666666666666667,0.016666666666666666
bbh,0.6944444444444444,0.49074074074074076,0.8944444444444445,0.6916666666666667,0.6157407407407407,0.6074074074074074,0.46944444444444444,0.8425925925925926,0.3138888888888889,0.8305555555555556,0.6194444444444445,0.587037037037037,0.38055555555555554,0.262037037037037,0.29907407407407405,0.8805555555555555,0.8648148148148148,0.425,0.8398148148148148,0.5703703703703704
emorynlp,0.3744619799139168,0.381635581061693,0.38737446197991393,0.27546628407460544,0.3472022955523673,0.39741750358680056,0.3902439024390244,0.3500717360114778,0.36585365853658536,0.36872309899569583,0.36872309899569583,0.33715925394548063,0.3170731707317073,0.29411764705882354,0.2812051649928264,0.35724533715925394,0.3902439024390244,0.22812051649928264,0.38737446197991393,0.3701578192252511
finqa,0.6163905841325196,0.4995640802092415,0.7035745422842197,0.6329555361813426,0.6870095902353966,0.6460331299040977,0.5727986050566696,0.6870095902353966,0.6233653007846556,0.7035745422842197,0.6198779424585876,0.5292066259808196,0.5457715780296426,0.3112467306015693,0.17000871839581516,0.6721883173496077,0.7122929380993898,0.6155187445510026,0.7445510026155188,0.6320836965998257
gpqa,0.35353535353535354,0.2777777777777778,0.6060606060606061,0.35858585858585856,0.2727272727272727,0.2777777777777778,0.23232323232323232,0.5606060606060606,0.3181818181818182,0.4898989898989899,0.3383838383838384,0.26262626262626265,0.23232323232323232,0.3383838383838384,0.04040404040404041,0.5202020202020202,0.5202020202020202,0.3181818181818182,0.5757575757575758,0.32323232323232326
humaneval,0.6951219512195121,0.5121951219512195,0.25,0.45121951219512196,0.774390243902439,0.6463414634146342,0.7439024390243902,0.6036585365853658,0.5121951219512195,0.4329268292682927,0.6585365853658537,0.6158536585365854,0.5609756097560976,0.6280487804878049,0.524390243902439,0.32926829268292684,0.4817073170731707,0.07317073170731707,0.6219512195121951,0.774390243902439
kandk,0.24142857142857144,0.15571428571428572,0.6085714285714285,0.5085714285714286,0.19,0.09714285714285714,0.12428571428571429,0.4757142857142857,0.21714285714285714,0.7942857142857143,0.25857142857142856,0.13714285714285715,0.15428571428571428,0.22857142857142856,0.04,0.6271428571428571,0.7071428571428572,0.17285714285714285,0.77,0.2042857142857143
korbench,0.4296,0.3192,0.56,0.4536,0.332,0.3464,0.3728,0.5384,0.32,0.5816,0.3384,0.2416,0.1432,0.2952,0.2984,0.3096,0.568,0.1104,0.5392,0.3424
livecodebench,0.17251184834123223,0.13080568720379146,0.64739336492891,0.41137440758293836,0.06824644549763033,0.17251184834123223,0.16872037914691942,0.6151658767772512,0.14218009478672985,0.26255924170616113,0.2123222748815166,0.16777251184834124,0.13364928909952606,0.4606635071090047,0.06445497630331753,0.6369668246445498,0.6549763033175355,0.44170616113744077,0.6767772511848341,0.2786729857819905
math500,0.512,0.298,0.942,0.884,0.754,0.482,0.498,0.946,0.69,0.914,0.69,0.498,0.424,0.908,0.266,0.934,0.936,0.856,0.936,0.652
mathbench,0.56,0.38666666666666666,0.9,0.88,0.6666666666666666,0.5466666666666666,0.49333333333333335,0.9533333333333334,0.5933333333333334,0.6466666666666666,0.6,0.4666666666666667,0.25333333333333335,0.5,0.11333333333333333,0.9533333333333334,0.9466666666666667,0.6266666666666667,0.9533333333333334,0.6733333333333333
mbpp,0.5195071868583162,0.5400410677618069,0.35010266940451745,0.5359342915811088,0.6899383983572895,0.6242299794661191,0.6283367556468172,0.6293634496919918,0.3655030800821355,0.4404517453798768,0.605344295991778,0.606776180698152,0.5390143737166324,0.6149897330595483,0.5677618069815195,0.3408624229979466,0.4209445585215606,0.11806981519507187,0.5472279260780287,0.7597535934291582
medqa,0.6575019638648861,0.5758051846032993,0.8161822466614297,0.3479968578161822,0.6323644933228594,0.6378633150039277,0.6213668499607227,0.7101335428122545,0.6119402985074627,0.6842105263157895,0.6724273369992144,0.6826394344069128,0.6849960722702279,0.4147682639434407,0.29379418695993714,0.6535742340926944,0.7470542026708562,0.5208169677926159,0.7918303220738413,0.4878240377062058
meld,0.549512987012987,0.4715909090909091,0.510551948051948,0.349025974025974,0.5040584415584416,0.525974025974026,0.5527597402597403,0.4586038961038961,0.5032467532467533,0.5040584415584416,0.5097402597402597,0.4805194805194805,0.42207792207792205,0.387987012987013,0.3969155844155844,0.512987012987013,0.4675324675324675,0.3344155844155844,0.5422077922077922,0.525974025974026
mmlupro,0.5704295704295704,0.36663336663336665,0.7082917082917083,0.4775224775224775,0.4865134865134865,0.5294705294705294,0.47052947052947053,0.6733266733266733,0.44655344655344653,0.5604395604395604,0.5514485514485514,0.46653346653346656,0.4025974025974026,0.4145854145854146,0.2077922077922078,0.6993006993006993,0.7012987012987013,0.4205794205794206,0.6913086913086913,0.45354645354645357
