,aime,bbh,emorynlp,finqa,gpqa,humaneval,kandk,korbench,livecodebench,math500,mathbench,mbpp,medqa,meld,mmlupro
aime,1.0,0.6515458275260283,0.05113708268327257,0.7307955813390856,0.8002357245147793,-0.4233313263922786,0.8316479261917598,0.49717260009825853,0.8031941383887783,0.929558525220377,0.7859132871784134,-0.34279937267048877,0.48657835900027435,-0.021583081935921185,0.6969497179459606
bbh,0.6515458275260283,1.0,0.4177646622291815,0.8209182158375703,0.7992481216353153,-0.24303994841020643,0.7473684210526315,0.7187969924812029,0.6363294921608854,0.6894998749584329,0.7921695730626068,-0.2526315789473684,0.6887218045112782,0.3656885911063787,0.9428571428571428
emorynlp,0.05113708268327257,0.4177646622291815,1.0,0.4376648144718475,0.25452495925696406,0.2455744053663034,0.16484767752827162,0.6149796919662005,0.20858439648591334,0.05651846269781462,0.17715794699895626,0.08505839068810361,0.4629284094972011,0.7627119185073075,0.5103503441286218
finqa,0.7307955813390856,0.8209182158375703,0.4376648144718475,1.0,0.7387867520261251,-0.17206325301204817,0.7419114214627354,0.7712568022305312,0.6187429869914927,0.7510358348165782,0.8651095146680069,-0.1685478279996478,0.6192627787665631,0.3411144578313253,0.8465013683018027
gpqa,0.8002357245147793,0.7992481216353153,0.25452495925696406,0.7387867520261251,1.0,-0.3580854155228668,0.920528939338695,0.664407957853297,0.8752835864297578,0.8891405243376611,0.8517541156724662,-0.3645957501145077,0.5145018539839024,0.14662655435620545,0.7977415276265778
humaneval,-0.4233313263922786,-0.24303994841020643,0.2455744053663034,-0.17206325301204817,-0.3580854155228668,1.0,-0.36493614544566594,-0.018811141517817834,-0.33571699780803615,-0.3642184815785513,-0.23436329186563604,0.8389769116946755,-0.11888641439260872,0.48569277108433734,-0.123401088356885
kandk,0.8316479261917598,0.7473684210526315,0.16484767752827162,0.7419114214627354,0.920528939338695,-0.36493614544566594,1.0,0.6481203007518795,0.7566754954064429,0.8558530107289718,0.8057238053013207,-0.4195488721804511,0.4977443609022556,0.10458994683906715,0.7368421052631579
korbench,0.49717260009825853,0.7187969924812029,0.6149796919662005,0.7712568022305312,0.664407957853297,-0.018811141517817834,0.6481203007518795,1.0,0.48288833802279957,0.5464813419430374,0.5918681410905029,-0.021052631578947364,0.4947368421052631,0.4168548960348432,0.7428571428571428
livecodebench,0.8031941383887783,0.6363294921608854,0.20858439648591334,0.6187429869914927,0.8752835864297578,-0.33571699780803615,0.7566754954064429,0.48288833802279957,1.0,0.8554219292707493,0.7947274376633094,-0.30161717063417853,0.42572398648115967,0.07113286164318255,0.688228706060532
math500,0.929558525220377,0.6894998749584329,0.05651846269781462,0.7510358348165782,0.8891405243376611,-0.3642184815785513,0.8558530107289718,0.5464813419430374,0.8554219292707493,1.0,0.8835281441820286,-0.28152069130398893,0.4794884501621417,-0.027871941713353453,0.7331581639841852
mathbench,0.7859132871784134,0.7921695730626068,0.17715794699895626,0.8651095146680069,0.8517541156724662,-0.23436329186563604,0.8057238053013207,0.5918681410905029,0.7947274376633094,0.8835281441820286,1.0,-0.19277130295059633,0.4156631219872233,0.17784481311990388,0.7876514956497022
mbpp,-0.34279937267048877,-0.2526315789473684,0.08505839068810361,-0.1685478279996478,-0.3645957501145077,0.8389769116946755,-0.4195488721804511,-0.021052631578947364,-0.30161717063417853,-0.28152069130398893,-0.19277130295059633,1.0,-0.18345864661654135,0.19939810008886902,-0.22105263157894736
medqa,0.48657835900027435,0.6887218045112782,0.4629284094972011,0.6192627787665631,0.5145018539839024,-0.11888641439260872,0.4977443609022556,0.4947368421052631,0.42572398648115967,0.4794884501621417,0.4156631219872233,-0.18345864661654135,1.0,0.33107609071359384,0.7218045112781954
meld,-0.021583081935921185,0.3656885911063787,0.7627119185073075,0.3411144578313253,0.14662655435620545,0.48569277108433734,0.10458994683906715,0.4168548960348432,0.07113286164318255,-0.027871941713353453,0.17784481311990388,0.19939810008886902,0.33107609071359384,1.0,0.48006033153471106
mmlupro,0.6969497179459606,0.9428571428571428,0.5103503441286218,0.8465013683018027,0.7977415276265778,-0.123401088356885,0.7368421052631579,0.7428571428571428,0.688228706060532,0.7331581639841852,0.7876514956497022,-0.22105263157894736,0.7218045112781954,0.48006033153471106,1.0
