task,model,count,frequency,oracle_train_assignment,is_oracle_assignment
bbh,DeepSeek-R1-0528-Qwen3-8B,266,0.532,NVIDIA-Nemotron-Nano-9B-v2,False
bbh,NVIDIA-Nemotron-Nano-9B-v2,161,0.322,NVIDIA-Nemotron-Nano-9B-v2,True
bbh,Qwen3-8B,26,0.052,NVIDIA-Nemotron-Nano-9B-v2,False
bbh,Llama-3.1-8B-Instruct,22,0.044,NVIDIA-Nemotron-Nano-9B-v2,False
bbh,Llama-3.1-8B-UltraMedical,18,0.036,NVIDIA-Nemotron-Nano-9B-v2,False
bbh,Qwen2.5-Coder-7B-Instruct,7,0.014,NVIDIA-Nemotron-Nano-9B-v2,False
finqa,Fin-R1,492,0.984,Fin-R1,True
finqa,Qwen2.5-Coder-7B-Instruct,5,0.01,Fin-R1,False
finqa,gemma-2-9b-it,3,0.006,Fin-R1,False
korbench,Qwen2.5-Coder-7B-Instruct,275,0.55,Qwen2.5-Coder-7B-Instruct,True
korbench,Llama-3.1-8B-UltraMedical,80,0.16,Qwen2.5-Coder-7B-Instruct,False
korbench,Llama-3.1-8B-Instruct,71,0.142,Qwen2.5-Coder-7B-Instruct,False
korbench,NVIDIA-Nemotron-Nano-9B-v2,30,0.06,Qwen2.5-Coder-7B-Instruct,False
korbench,gemma-2-9b-it,24,0.048,Qwen2.5-Coder-7B-Instruct,False
korbench,Qwen3-8B,13,0.026,Qwen2.5-Coder-7B-Instruct,False
korbench,DeepSeek-R1-0528-Qwen3-8B,6,0.012,Qwen2.5-Coder-7B-Instruct,False
korbench,Fin-R1,1,0.002,Qwen2.5-Coder-7B-Instruct,False
livecodebench,Qwen3-8B,433,0.866,Qwen3-8B,True
livecodebench,NVIDIA-Nemotron-Nano-9B-v2,64,0.128,Qwen3-8B,False
livecodebench,DeepSeek-R1-0528-Qwen3-8B,3,0.006,Qwen3-8B,False
math500,NVIDIA-Nemotron-Nano-9B-v2,245,0.49,DeepSeek-R1-0528-Qwen3-8B,False
math500,DeepSeek-R1-0528-Qwen3-8B,225,0.45,DeepSeek-R1-0528-Qwen3-8B,True
math500,Qwen3-8B,28,0.056,DeepSeek-R1-0528-Qwen3-8B,False
math500,Fin-R1,1,0.002,DeepSeek-R1-0528-Qwen3-8B,False
math500,Qwen2.5-Coder-7B-Instruct,1,0.002,DeepSeek-R1-0528-Qwen3-8B,False
medqa,Llama-3.1-8B-UltraMedical,256,0.512,Llama-3.1-8B-UltraMedical,True
medqa,Llama-3.1-8B-Instruct,244,0.488,Llama-3.1-8B-UltraMedical,False
meld,gemma-2-9b-it,301,0.602,gemma-2-9b-it,True
meld,Qwen2.5-Coder-7B-Instruct,193,0.386,gemma-2-9b-it,False
meld,Fin-R1,6,0.012,gemma-2-9b-it,False
mmlupro,gemma-2-9b-it,172,0.344,Llama-3.1-8B-Instruct,False
mmlupro,Llama-3.1-8B-Instruct,163,0.326,Llama-3.1-8B-Instruct,True
mmlupro,Llama-3.1-8B-UltraMedical,146,0.292,Llama-3.1-8B-Instruct,False
mmlupro,Qwen2.5-Coder-7B-Instruct,19,0.038,Llama-3.1-8B-Instruct,False
