replicate,task,model
0,mmlupro,Llama-3.1-8B-Instruct
0,medqa,Llama-3.1-8B-UltraMedical
0,bbh,DeepSeek-R1-0528-Qwen3-8B
0,korbench,Qwen2.5-Coder-7B-Instruct
0,meld,gemma-2-9b-it
0,livecodebench,Qwen3-8B
0,math500,NVIDIA-Nemotron-Nano-9B-v2
0,finqa,Fin-R1
1,mmlupro,Llama-3.1-8B-Instruct
1,medqa,Llama-3.1-8B-UltraMedical
1,bbh,DeepSeek-R1-0528-Qwen3-8B
1,korbench,Qwen2.5-Coder-7B-Instruct
1,meld,gemma-2-9b-it
1,livecodebench,Qwen3-8B
1,math500,NVIDIA-Nemotron-Nano-9B-v2
1,finqa,Fin-R1
2,meld,Qwen2.5-Coder-7B-Instruct
2,bbh,NVIDIA-Nemotron-Nano-9B-v2
2,medqa,Llama-3.1-8B-UltraMedical
2,mmlupro,gemma-2-9b-it
2,korbench,Llama-3.1-8B-Instruct
2,livecodebench,Qwen3-8B
2,finqa,Fin-R1
2,math500,DeepSeek-R1-0528-Qwen3-8B
3,meld,Qwen2.5-Coder-7B-Instruct
3,bbh,NVIDIA-Nemotron-Nano-9B-v2
3,medqa,Llama-3.1-8B-Instruct
3,mmlupro,gemma-2-9b-it
3,korbench,Llama-3.1-8B-UltraMedical
3,livecodebench,Qwen3-8B
3,finqa,Fin-R1
3,math500,DeepSeek-R1-0528-Qwen3-8B
4,medqa,Llama-3.1-8B-Instruct
4,bbh,DeepSeek-R1-0528-Qwen3-8B
4,korbench,Qwen2.5-Coder-7B-Instruct
4,meld,gemma-2-9b-it
4,livecodebench,Qwen3-8B
4,math500,NVIDIA-Nemotron-Nano-9B-v2
4,finqa,Fin-R1
4,mmlupro,Llama-3.1-8B-UltraMedical
5,mmlupro,Llama-3.1-8B-Instruct
5,bbh,NVIDIA-Nemotron-Nano-9B-v2
5,medqa,Llama-3.1-8B-UltraMedical
5,korbench,Qwen2.5-Coder-7B-Instruct
5,meld,gemma-2-9b-it
5,livecodebench,Qwen3-8B
5,finqa,Fin-R1
5,math500,DeepSeek-R1-0528-Qwen3-8B
6,medqa,Llama-3.1-8B-Instruct
6,bbh,DeepSeek-R1-0528-Qwen3-8B
6,korbench,Qwen2.5-Coder-7B-Instruct
6,meld,gemma-2-9b-it
6,livecodebench,Qwen3-8B
6,math500,NVIDIA-Nemotron-Nano-9B-v2
6,finqa,Fin-R1
6,mmlupro,Llama-3.1-8B-UltraMedical
7,mmlupro,Llama-3.1-8B-Instruct
7,bbh,NVIDIA-Nemotron-Nano-9B-v2
7,medqa,Llama-3.1-8B-UltraMedical
7,korbench,Qwen2.5-Coder-7B-Instruct
7,meld,gemma-2-9b-it
7,livecodebench,Qwen3-8B
7,finqa,Fin-R1
7,math500,DeepSeek-R1-0528-Qwen3-8B
8,bbh,NVIDIA-Nemotron-Nano-9B-v2
8,medqa,Llama-3.1-8B-Instruct
8,korbench,Qwen2.5-Coder-7B-Instruct
8,meld,gemma-2-9b-it
8,livecodebench,Qwen3-8B
8,finqa,Fin-R1
8,mmlupro,Llama-3.1-8B-UltraMedical
8,math500,DeepSeek-R1-0528-Qwen3-8B
9,bbh,NVIDIA-Nemotron-Nano-9B-v2
9,medqa,Llama-3.1-8B-Instruct
9,korbench,Qwen2.5-Coder-7B-Instruct
9,meld,gemma-2-9b-it
9,livecodebench,Qwen3-8B
9,finqa,Fin-R1
9,mmlupro,Llama-3.1-8B-UltraMedical
9,math500,DeepSeek-R1-0528-Qwen3-8B
10,meld,Qwen2.5-Coder-7B-Instruct
10,medqa,Llama-3.1-8B-UltraMedical
10,mmlupro,gemma-2-9b-it
10,bbh,DeepSeek-R1-0528-Qwen3-8B
10,korbench,Llama-3.1-8B-Instruct
10,livecodebench,Qwen3-8B
10,math500,NVIDIA-Nemotron-Nano-9B-v2
10,finqa,Fin-R1
11,mmlupro,Llama-3.1-8B-Instruct
11,medqa,Llama-3.1-8B-UltraMedical
11,korbench,Qwen2.5-Coder-7B-Instruct
11,meld,gemma-2-9b-it
11,livecodebench,NVIDIA-Nemotron-Nano-9B-v2
11,finqa,Fin-R1
11,math500,DeepSeek-R1-0528-Qwen3-8B
11,bbh,Qwen3-8B
12,medqa,Llama-3.1-8B-Instruct
12,bbh,DeepSeek-R1-0528-Qwen3-8B
12,korbench,Qwen2.5-Coder-7B-Instruct
12,meld,gemma-2-9b-it
12,livecodebench,Qwen3-8B
12,math500,NVIDIA-Nemotron-Nano-9B-v2
12,finqa,Fin-R1
12,mmlupro,Llama-3.1-8B-UltraMedical
