matching,count,frequency,is_train_oracle
bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Qwen2.5-Coder-7B-Instruct|livecodebench=Qwen3-8B|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Llama-3.1-8B-UltraMedical|meld=gemma-2-9b-it|mmlupro=Llama-3.1-8B-Instruct,75,0.15,False
bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Qwen2.5-Coder-7B-Instruct|livecodebench=Qwen3-8B|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Llama-3.1-8B-Instruct|meld=gemma-2-9b-it|mmlupro=Llama-3.1-8B-UltraMedical,75,0.15,False
bbh=NVIDIA-Nemotron-Nano-9B-v2|finqa=Fin-R1|korbench=Qwen2.5-Coder-7B-Instruct|livecodebench=Qwen3-8B|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-UltraMedical|meld=gemma-2-9b-it|mmlupro=Llama-3.1-8B-Instruct,57,0.114,True
bbh=NVIDIA-Nemotron-Nano-9B-v2|finqa=Fin-R1|korbench=Qwen2.5-Coder-7B-Instruct|livecodebench=Qwen3-8B|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-Instruct|meld=gemma-2-9b-it|mmlupro=Llama-3.1-8B-UltraMedical,38,0.076,False
bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Llama-3.1-8B-Instruct|livecodebench=Qwen3-8B|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Llama-3.1-8B-UltraMedical|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,38,0.076,False
bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Llama-3.1-8B-UltraMedical|livecodebench=Qwen3-8B|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Llama-3.1-8B-Instruct|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,37,0.074,False
bbh=NVIDIA-Nemotron-Nano-9B-v2|finqa=Fin-R1|korbench=Llama-3.1-8B-UltraMedical|livecodebench=Qwen3-8B|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-Instruct|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,31,0.062,False
bbh=NVIDIA-Nemotron-Nano-9B-v2|finqa=Fin-R1|korbench=Llama-3.1-8B-Instruct|livecodebench=Qwen3-8B|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-UltraMedical|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,22,0.044,False
bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Qwen2.5-Coder-7B-Instruct|livecodebench=NVIDIA-Nemotron-Nano-9B-v2|math500=Qwen3-8B|medqa=Llama-3.1-8B-Instruct|meld=gemma-2-9b-it|mmlupro=Llama-3.1-8B-UltraMedical,9,0.018,False
bbh=Llama-3.1-8B-Instruct|finqa=Fin-R1|korbench=NVIDIA-Nemotron-Nano-9B-v2|livecodebench=Qwen3-8B|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-UltraMedical|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,9,0.018,False
bbh=Qwen3-8B|finqa=Fin-R1|korbench=Qwen2.5-Coder-7B-Instruct|livecodebench=NVIDIA-Nemotron-Nano-9B-v2|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-Instruct|meld=gemma-2-9b-it|mmlupro=Llama-3.1-8B-UltraMedical,8,0.016,False
bbh=NVIDIA-Nemotron-Nano-9B-v2|finqa=Fin-R1|korbench=gemma-2-9b-it|livecodebench=Qwen3-8B|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-UltraMedical|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=Llama-3.1-8B-Instruct,6,0.012,False
bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Qwen2.5-Coder-7B-Instruct|livecodebench=NVIDIA-Nemotron-Nano-9B-v2|math500=Qwen3-8B|medqa=Llama-3.1-8B-UltraMedical|meld=gemma-2-9b-it|mmlupro=Llama-3.1-8B-Instruct,6,0.012,False
bbh=Qwen3-8B|finqa=Fin-R1|korbench=Llama-3.1-8B-Instruct|livecodebench=NVIDIA-Nemotron-Nano-9B-v2|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-UltraMedical|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,5,0.01,False
bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=gemma-2-9b-it|livecodebench=Qwen3-8B|math500=NVIDIA-Nemotron-Nano-9B-v2|medqa=Llama-3.1-8B-Instruct|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=Llama-3.1-8B-UltraMedical,5,0.01,False
bbh=Llama-3.1-8B-Instruct|finqa=Fin-R1|korbench=NVIDIA-Nemotron-Nano-9B-v2|livecodebench=Qwen3-8B|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-UltraMedical|meld=gemma-2-9b-it|mmlupro=Qwen2.5-Coder-7B-Instruct,5,0.01,False
bbh=Llama-3.1-8B-UltraMedical|finqa=Fin-R1|korbench=NVIDIA-Nemotron-Nano-9B-v2|livecodebench=Qwen3-8B|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-Instruct|meld=gemma-2-9b-it|mmlupro=Qwen2.5-Coder-7B-Instruct,5,0.01,False
bbh=DeepSeek-R1-0528-Qwen3-8B|finqa=Fin-R1|korbench=Llama-3.1-8B-UltraMedical|livecodebench=NVIDIA-Nemotron-Nano-9B-v2|math500=Qwen3-8B|medqa=Llama-3.1-8B-Instruct|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,5,0.01,False
bbh=Qwen3-8B|finqa=Fin-R1|korbench=Qwen2.5-Coder-7B-Instruct|livecodebench=NVIDIA-Nemotron-Nano-9B-v2|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-UltraMedical|meld=gemma-2-9b-it|mmlupro=Llama-3.1-8B-Instruct,4,0.008,False
bbh=Llama-3.1-8B-UltraMedical|finqa=Fin-R1|korbench=NVIDIA-Nemotron-Nano-9B-v2|livecodebench=Qwen3-8B|math500=DeepSeek-R1-0528-Qwen3-8B|medqa=Llama-3.1-8B-Instruct|meld=Qwen2.5-Coder-7B-Instruct|mmlupro=gemma-2-9b-it,4,0.008,False
