replicate,model,dataset,utility
0,DeepSeek-R1-0528-Qwen3-8B,math500,0.24904761904761907
0,DeepSeek-R1-0528-Qwen3-8B,livecodebench,0.31166779508011744
0,DeepSeek-R1-0528-Qwen3-8B,bbh,0.25176366843033515
0,DeepSeek-R1-0528-Qwen3-8B,mmlupro,0.16662705015450419
0,DeepSeek-R1-0528-Qwen3-8B,finqa,0.07952657807308972
0,DeepSeek-R1-0528-Qwen3-8B,medqa,0.15351533283470453
0,DeepSeek-R1-0528-Qwen3-8B,meld,0.020297699594046037
0,DeepSeek-R1-0528-Qwen3-8B,korbench,0.2146666666666665
0,Fin-R1,math500,0.07761904761904759
0,Fin-R1,livecodebench,-0.311216429699842
0,Fin-R1,bbh,-0.07980599647266307
0,Fin-R1,mmlupro,-0.05585928214879965
0,Fin-R1,finqa,0.04132059800664467
0,Fin-R1,medqa,-0.07834704562453265
0,Fin-R1,meld,0.0032862942199883838
0,Fin-R1,korbench,-0.052000000000000046
0,Llama-3.1-8B-UltraMedical,math500,-0.3185714285714286
0,Llama-3.1-8B-UltraMedical,livecodebench,-0.2083051229970661
0,Llama-3.1-8B-UltraMedical,bbh,-0.33906525573192237
0,Llama-3.1-8B-UltraMedical,mmlupro,-0.19657713334918003
0,Llama-3.1-8B-UltraMedical,finqa,-0.11980897009966762
0,Llama-3.1-8B-UltraMedical,medqa,0.0413238593866867
0,Llama-3.1-8B-UltraMedical,meld,-0.08331722404794117
0,Llama-3.1-8B-UltraMedical,korbench,-0.28361904761904777
0,Qwen2.5-Coder-7B-Instruct,math500,-0.05190476190476201
0,Qwen2.5-Coder-7B-Instruct,livecodebench,-0.062062739787858257
0,Qwen2.5-Coder-7B-Instruct,bbh,-0.11155202821869481
0,Qwen2.5-Coder-7B-Instruct,mmlupro,-0.09008794865700037
0,Qwen2.5-Coder-7B-Instruct,finqa,-0.028446843853820458
0,Qwen2.5-Coder-7B-Instruct,medqa,-0.22494390426327593
0,Qwen2.5-Coder-7B-Instruct,meld,0.02803015658225405
0,Qwen2.5-Coder-7B-Instruct,korbench,-0.056571428571428606
0,Qwen3-8B,math500,0.24142857142857144
0,Qwen3-8B,livecodebench,0.32791694877002936
