replicate,dataset,model,utility
0,math500,DeepSeek-R1-0528-Qwen3-8B,0.9633333333333334
0,math500,Fin-R1,0.8133333333333334
0,math500,Llama-3.1-8B-UltraMedical,0.4666666666666667
0,math500,Qwen2.5-Coder-7B-Instruct,0.7
0,math500,Qwen3-8B,0.9566666666666667
0,math500,Llama-3.1-8B-Instruct,0.5933333333333334
0,math500,NVIDIA-Nemotron-Nano-9B-v2,0.9566666666666667
0,math500,gemma-2-9b-it,0.5133333333333333
0,livecodebench,DeepSeek-R1-0528-Qwen3-8B,0.6097946287519748
0,livecodebench,Fin-R1,0.06477093206951026
0,livecodebench,Llama-3.1-8B-UltraMedical,0.15481832543443919
0,livecodebench,Qwen2.5-Coder-7B-Instruct,0.28278041074249605
0,livecodebench,Qwen3-8B,0.6240126382306477
0,livecodebench,Llama-3.1-8B-Instruct,0.1769352290679305
0,livecodebench,NVIDIA-Nemotron-Nano-9B-v2,0.6034755134281201
0,livecodebench,gemma-2-9b-it,0.18009478672985782
0,bbh,DeepSeek-R1-0528-Qwen3-8B,0.8919753086419753
0,bbh,Fin-R1,0.6018518518518519
0,bbh,Llama-3.1-8B-UltraMedical,0.375
0,bbh,Qwen2.5-Coder-7B-Instruct,0.5740740740740741
0,bbh,Qwen3-8B,0.8580246913580247
0,bbh,Llama-3.1-8B-Instruct,0.5925925925925926
0,bbh,NVIDIA-Nemotron-Nano-9B-v2,0.8765432098765432
0,bbh,gemma-2-9b-it,0.6033950617283951
0,mmlupro,DeepSeek-R1-0528-Qwen3-8B,0.6838602329450915
0,mmlupro,Fin-R1,0.4891846921797005
0,mmlupro,Llama-3.1-8B-UltraMedical,0.36605657237936773
0,mmlupro,Qwen2.5-Coder-7B-Instruct,0.45923460898502494
0,mmlupro,Qwen3-8B,0.6572379367720466
0,mmlupro,Llama-3.1-8B-Instruct,0.4442595673876872
0,mmlupro,NVIDIA-Nemotron-Nano-9B-v2,0.7021630615640599
0,mmlupro,gemma-2-9b-it,0.502495840266223
0,finqa,DeepSeek-R1-0528-Qwen3-8B,0.7194767441860465
0,finqa,Fin-R1,0.686046511627907
0,finqa,Llama-3.1-8B-UltraMedical,0.5450581395348837
0,finqa,Qwen2.5-Coder-7B-Instruct,0.625
0,finqa,Qwen3-8B,0.7180232558139535
0,finqa,Llama-3.1-8B-Instruct,0.5479651162790697
0,finqa,NVIDIA-Nemotron-Nano-9B-v2,0.7034883720930233
0,finqa,gemma-2-9b-it,0.6540697674418605
0,medqa,DeepSeek-R1-0528-Qwen3-8B,0.7971204188481675
0,medqa,Fin-R1,0.5942408376963351
0,medqa,Llama-3.1-8B-UltraMedical,0.6989528795811518
0,medqa,Qwen2.5-Coder-7B-Instruct,0.46596858638743455
0,medqa,Qwen3-8B,0.7670157068062827
0,medqa,Llama-3.1-8B-Instruct,0.6518324607329843
0,medqa,NVIDIA-Nemotron-Nano-9B-v2,0.7277486910994765
0,medqa,gemma-2-9b-it,0.599476439790576
0,meld,DeepSeek-R1-0528-Qwen3-8B,0.5629228687415426
0,meld,Fin-R1,0.5480378890392422
0,meld,Llama-3.1-8B-UltraMedical,0.4722598105548038
0,meld,Qwen2.5-Coder-7B-Instruct,0.5696887686062246
0,meld,Qwen3-8B,0.5832205683355887
0,meld,Llama-3.1-8B-Instruct,0.5182679296346414
0,meld,NVIDIA-Nemotron-Nano-9B-v2,0.530446549391069
0,meld,gemma-2-9b-it,0.5764546684709067
0,korbench,DeepSeek-R1-0528-Qwen3-8B,0.5466666666666666
0,korbench,Fin-R1,0.31333333333333335
0,korbench,Llama-3.1-8B-UltraMedical,0.11066666666666666
0,korbench,Qwen2.5-Coder-7B-Instruct,0.30933333333333335
0,korbench,Qwen3-8B,0.5293333333333333
0,korbench,Llama-3.1-8B-Instruct,0.216
0,korbench,NVIDIA-Nemotron-Nano-9B-v2,0.54
0,korbench,gemma-2-9b-it,0.30533333333333335
1,math500,DeepSeek-R1-0528-Qwen3-8B,0.9533333333333334
1,math500,Fin-R1,0.76
1,math500,Llama-3.1-8B-UltraMedical,0.44
1,math500,Qwen2.5-Coder-7B-Instruct,0.68
1,math500,Qwen3-8B,0.9366666666666666
1,math500,Llama-3.1-8B-Instruct,0.5633333333333334
1,math500,NVIDIA-Nemotron-Nano-9B-v2,0.9333333333333333
1,math500,gemma-2-9b-it,0.49333333333333335
1,livecodebench,DeepSeek-R1-0528-Qwen3-8B,0.6382306477093207
1,livecodebench,Fin-R1,0.06951026856240126
1,livecodebench,Llama-3.1-8B-UltraMedical,0.1484992101105845
1,livecodebench,Qwen2.5-Coder-7B-Instruct,0.2938388625592417
1,livecodebench,Qwen3-8B,0.660347551342812
1,livecodebench,Llama-3.1-8B-Instruct,0.16903633491311215
1,livecodebench,NVIDIA-Nemotron-Nano-9B-v2,0.6350710900473934
1,livecodebench,gemma-2-9b-it,0.18009478672985782
