model,dataset,mean,std,p2_5,p50,p97_5
DeepSeek-R1-0528-Qwen3-8B,bbh,0.2485004409171076,0.012864441331738495,0.22364969135802468,0.24867724867724872,0.2734843474426807
DeepSeek-R1-0528-Qwen3-8B,finqa,0.07020224252491694,0.010603405887464591,0.05066445182724261,0.06935215946843859,0.09105585548172751
DeepSeek-R1-0528-Qwen3-8B,korbench,0.2086487619047619,0.015062014883738454,0.17665238095238095,0.20914285714285713,0.2393380952380952
DeepSeek-R1-0528-Qwen3-8B,livecodebench,0.318023019634394,0.015828645624477725,0.2870570977206048,0.3185511171293162,0.3477995937711577
DeepSeek-R1-0528-Qwen3-8B,math500,0.26134285714285715,0.01556094960207083,0.23451190476190475,0.26047619047619053,0.2962142857142857
DeepSeek-R1-0528-Qwen3-8B,medqa,0.15348242333582648,0.012381206939117019,0.1287256918474197,0.15342183994016456,0.17811798803290957
DeepSeek-R1-0528-Qwen3-8B,meld,0.014979315677556549,0.013435233697873328,-0.01054030543205097,0.014884979702300405,0.042446356079644275
DeepSeek-R1-0528-Qwen3-8B,mmlupro,0.1817114333254101,0.014808332980701616,0.15211552174946513,0.18160209175184228,0.2101378654623247
Fin-R1,bbh,-0.07939726631393298,0.018075220761918594,-0.115437610229277,-0.08090828924162252,-0.042548500881834206
Fin-R1,finqa,0.04831187707641196,0.011715601440086364,0.02553986710963446,0.048795681063122875,0.07278343023255819
Fin-R1,korbench,-0.05390057142857143,0.012482366356599037,-0.0783857142857143,-0.05390476190476193,-0.030366666666666726
Fin-R1,livecodebench,-0.3192290679304898,0.012680829681556476,-0.34371473707966604,-0.3190024825095915,-0.29540735725569855
Fin-R1,math500,0.051841904761904756,0.018210856192528196,0.017619047619047534,0.051904761904761954,0.08714285714285719
Fin-R1,medqa,-0.07286312640239342,0.01451219273757578,-0.10237939416604339,-0.07283096484667162,-0.04501682872101711
Fin-R1,meld,0.007574714865648567,0.015611001851833551,-0.0225256137637734,0.007732456988208014,0.038285327662865
Fin-R1,mmlupro,-0.06851533159020678,0.01632415264838269,-0.10080817684811022,-0.06774423579748035,-0.035143807939149084
Llama-3.1-8B-Instruct,bbh,-0.07589109347442681,0.01687234576209734,-0.1078262786596121,-0.07539682539682535,-0.04462632275132267
Llama-3.1-8B-Instruct,finqa,-0.14327284053156145,0.015556697248297531,-0.17111710963455157,-0.14420681063122925,-0.10984219269103007
Llama-3.1-8B-Instruct,korbench,-0.1771615238095238,0.01596845963105846,-0.21076666666666666,-0.17609523809523805,-0.1480904761904762
Llama-3.1-8B-Instruct,livecodebench,-0.19422613405551795,0.01262339504618689,-0.21895734597156405,-0.1939742721733243,-0.16891785150078986
Llama-3.1-8B-Instruct,math500,-0.23045904761904762,0.02363310296925582,-0.2788690476190476,-0.2300000000000001,-0.18544047619047632
Llama-3.1-8B-Instruct,medqa,0.009904263275991018,0.01424519393339829,-0.018647157816005896,0.010284218399401523,0.03656039640987282
Llama-3.1-8B-Instruct,meld,-0.02959675236806495,0.01321778600233612,-0.05500193311424708,-0.029769959404600838,-0.001445002899671265
Llama-3.1-8B-Instruct,mmlupro,-0.1055279296410744,0.016121342463342077,-0.13442476824340394,-0.10589493700974553,-0.0742750178274304
Llama-3.1-8B-UltraMedical,bbh,-0.32917151675485007,0.019471326611265282,-0.3683862433862435,-0.32804232804232814,-0.2889991181657849
Llama-3.1-8B-UltraMedical,finqa,-0.1279107142857143,0.016180900311502693,-0.1603197674418605,-0.12852990033222605,-0.09620535714285722
Llama-3.1-8B-UltraMedical,korbench,-0.2882533333333333,0.01433586400623981,-0.31581904761904755,-0.2879047619047619,-0.2626666666666667
Llama-3.1-8B-UltraMedical,livecodebench,-0.22966012186865267,0.011704911416332718,-0.25062626946513206,-0.23008350259535096,-0.2053599638907696
Llama-3.1-8B-UltraMedical,math500,-0.2945504761904762,0.023323091286159718,-0.33739285714285716,-0.2957142857142856,-0.24904761904761907
Llama-3.1-8B-UltraMedical,medqa,0.009470456245325352,0.01452320608328338,-0.018235789080030006,0.009723261032161534,0.03786929693343307
Llama-3.1-8B-UltraMedical,meld,-0.08344867581674077,0.015742070511702993,-0.11659578581094145,-0.08273728977382569,-0.05470713319157164
Llama-3.1-8B-UltraMedical,mmlupro,-0.18820156881388164,0.01866928816137797,-0.22237342524364168,-0.18849536486807694,-0.15057642025196102
NVIDIA-Nemotron-Nano-9B-v2,bbh,0.22764329805996472,0.01318835941415793,0.2021604938271605,0.22773368606701944,0.2543044532627866
NVIDIA-Nemotron-Nano-9B-v2,finqa,0.07241818936877077,0.010784978197923149,0.05087209302325579,0.07288205980066437,0.09343853820597997
NVIDIA-Nemotron-Nano-9B-v2,korbench,0.2103462857142857,0.014889363975607134,0.18017142857142857,0.20971428571428577,0.23925714285714275
NVIDIA-Nemotron-Nano-9B-v2,livecodebench,0.34064545249379374,0.015119089701446034,0.3124407582938388,0.34010381403746337,0.3723877228616565
NVIDIA-Nemotron-Nano-9B-v2,math500,0.2609314285714286,0.017017186193411204,0.22784523809523805,0.25952380952380943,0.2947619047619047
NVIDIA-Nemotron-Nano-9B-v2,medqa,0.053063575168287205,0.013056204612132222,0.02907161555721763,0.05291697830964848,0.07816940912490637
NVIDIA-Nemotron-Nano-9B-v2,meld,-0.012665764546684702,0.012557909114376991,-0.037410593466073915,-0.012371931181132861,0.011415039628842057
NVIDIA-Nemotron-Nano-9B-v2,mmlupro,0.16265367245067747,0.014458285129443797,0.13119800332778703,0.16211076776800581,0.19337413834086054
Qwen2.5-Coder-7B-Instruct,bbh,-0.11610626102292768,0.01845727655271473,-0.15102513227513223,-0.11541005291005285,-0.08289241622574961
Qwen2.5-Coder-7B-Instruct,finqa,-0.00828612956810631,0.013825179808209536,-0.035418397009966775,-0.0074750830564783155,0.01995431893687719
Qwen2.5-Coder-7B-Instruct,korbench,-0.041051809523809525,0.012398861742738833,-0.06277619047619051,-0.04161904761904767,-0.013985714285714282
Qwen2.5-Coder-7B-Instruct,livecodebench,-0.07887519747235387,0.013337873013675816,-0.10664071315730085,-0.07774768675242608,-0.05437824418867069
Qwen2.5-Coder-7B-Instruct,math500,-0.05122857142857144,0.02112571123656498,-0.09120238095238087,-0.049523809523809637,-0.011154761904761945
Qwen2.5-Coder-7B-Instruct,medqa,-0.2264607329842932,0.01757200291891155,-0.2617988032909499,-0.22662677636499629,-0.1921232236350037
Qwen2.5-Coder-7B-Instruct,meld,0.03007616470133386,0.015063362649780228,0.001058380050260935,0.030156582254011216,0.060472646433404185
Qwen2.5-Coder-7B-Instruct,mmlupro,-0.10766531970525316,0.016414670696073053,-0.14060494414071784,-0.10767768005704781,-0.07700261468980274
Qwen3-8B,bbh,0.19167504409171077,0.014343495544583631,0.1651124338624337,0.191358024691358,0.2184744268077602
Qwen3-8B,finqa,0.09779360465116278,0.010047448777183957,0.0773411544850498,0.0982142857142857,0.11659572259136203
Qwen3-8B,korbench,0.18342057142857143,0.012574834975601594,0.1586285714285714,0.18342857142857144,0.207047619047619
Qwen3-8B,livecodebench,0.3619210110584518,0.014765958199526396,0.334236064093884,0.36188219363574814,0.3907752200406229
Qwen3-8B,math500,0.25366285714285713,0.016407921150702463,0.21990476190476188,0.25476190476190474,0.2824047619047618
Qwen3-8B,medqa,0.11869409124906506,0.0112865660328206,0.09610134629768124,0.11873597606581898,0.13902860882572923
Qwen3-8B,meld,0.03890972356466268,0.012881351582020884,0.01372511115406921,0.038855596365745204,0.06418905857336163
Qwen3-8B,mmlupro,0.1417171381031614,0.014286555214396042,0.11360827192773937,0.14202519610173525,0.16736391728072272
gemma-2-9b-it,bbh,-0.06725264550264551,0.019136335773184632,-0.10418320105820107,-0.0661375661375661,-0.03174603174603169
gemma-2-9b-it,finqa,-0.009256229235880398,0.014850375774223318,-0.04093646179401996,-0.00789036544850491,0.018480066445182748
gemma-2-9b-it,korbench,-0.042048380952380955,0.012676977384294203,-0.06619523809523806,-0.042190476190476195,-0.01674285714285718
gemma-2-9b-it,livecodebench,-0.1985989618596254,0.01299214325713223,-0.22399571202888738,-0.19882645001128416,-0.1717219589257504
gemma-2-9b-it,math500,-0.25154095238095237,0.02165978002719465,-0.2929047619047619,-0.25190476190476185,-0.2114285714285714
gemma-2-9b-it,medqa,-0.04529094988780853,0.014427739803305608,-0.07227468212415858,-0.04599850411368728,-0.01832460732984298
gemma-2-9b-it,meld,0.03417127392228882,0.014207441846040326,0.0027691861589020836,0.0351826792963463,0.061859655905664085
